name,bus0,bus1,x,r,s_nom
242,191,52,0.001,0.001,990.733062
243,191,93,0.001,0.001,1711.266198
244,192,54,0.001,0.001,855.6330989
245,193,67,0.001,0.001,855.6330989
246,194,5,0.001,0.001,1711.266198
247,194,63,0.001,0.001,1711.266198
248,195,24,0.001,0.001,1711.266198
249,195,42,0.001,0.001,1711.266198
25,104,127,0.001,0.001,990.733062
250,195,79,0.001,0.001,495.366531
251,196,20,0.001,0.001,495.366531
252,196,95,0.001,0.001,495.366531
253,197,47,0.001,0.001,495.366531
254,199,25,0.001,0.001,3422.532396
255,2,22,0.001,0.001,1283.449648
256,20,95,0.001,0.001,495.366531
257,23,39,0.001,0.001,990.733062
258,23,63,0.001,0.001,1711.266198
259,23,71,0.001,0.001,3917.898927
26,104,15,0.001,0.001,1283.449648
260,23,96,0.001,0.001,990.7330619
261,25,35,0.001,0.001,5133.798594
262,25,57,0.001,0.001,1711.266198
263,25,78,0.001,0.001,495.366531
264,25,91,0.001,0.001,2206.632729
265,26,51,0.001,0.001,1282.133435
266,27,5,0.001,0.001,990.733062
267,27,58,0.001,0.001,2566.899297
268,27,86,0.001,0.001,1283.449648
269,29,49,0.001,0.001,1711.266198
27,104,184,0.001,0.001,1283.449648
270,29,77,0.001,0.001,2206.632729
271,3,42,0.001,0.001,3422.532396
272,3,68,0.001,0.001,1711.266198
273,3,93,0.001,0.001,5629.165125
274,31,61,0.001,0.001,1711.266198
275,33,69,0.001,0.001,3422.532396
276,33,89,0.001,0.001,2566.899297
277,33,90,0.001,0.001,1846.366161
278,34,55,0.001,0.001,495.366531
279,34,66,0.001,0.001,743.0497965
28,104,5,0.001,0.001,1283.449648
280,35,78,0.001,0.001,1711.266198
281,36,92,0.001,0.001,3422.532396
282,37,84,0.001,0.001,990.733062
283,37,87,0.001,0.001,495.366531
284,39,6,0.001,0.001,855.6330989
285,39,71,0.001,0.001,855.6330989
286,39,91,0.001,0.001,1711.266198
287,4,72,0.001,0.001,990.733062
288,41,5,0.001,0.001,495.366531
289,42,68,0.001,0.001,3422.532396
29,105,183,0.001,0.001,855.6330989
290,42,93,0.001,0.001,495.366531
291,43,77,0.001,0.001,1284.783324
292,45,55,0.001,0.001,855.6330989
293,45,62,0.001,0.001,2566.899296
294,46,87,0.001,0.001,495.366531
295,48,75,0.001,0.001,1711.266198
296,49,93,0.001,0.001,3422.532396
297,49,98,0.001,0.001,2724.51592
298,5,60,0.001,0.001,1711.266198
299,51,64,0.001,0.001,855.6330989
3,0,51,0.001,0.001,855.6330989
30,105,30,0.001,0.001,4413.265458
300,51,84,0.001,0.001,495.366531
301,56,9,0.001,0.001,1711.266198
302,57,59,0.001,0.001,4188.098853
303,58,83,0.001,0.001,247.6832655
304,58,86,0.001,0.001,2521.865975
305,59,75,0.001,0.001,1282.790601
306,60,63,0.001,0.001,1711.266198
307,61,83,0.001,0.001,1711.266198
308,62,84,0.001,0.001,3422.532396
309,63,8,0.001,0.001,3422.532396
31,106,23,0.001,0.001,495.366531
310,64,80,0.001,0.001,855.6330989
311,67,89,0.001,0.001,2994.715846
312,68,88,0.001,0.001,5133.798594
313,69,7,0.001,0.001,1981.466124
314,69,90,0.001,0.001,990.7330619
315,70,78,0.001,0.001,495.366531
316,71,96,0.001,0.001,1711.266198
317,74,8,0.001,0.001,2566.899297
318,75,98,0.001,0.001,1958.949464
319,78,8,0.001,0.001,3197.365791
32,106,63,0.001,0.001,1283.45081
320,83,86,0.001,0.001,1283.449648
321,83,94,0.001,0.001,1283.449648
322,84,87,0.001,0.001,3422.532396
323,9,97,0.001,0.001,855.6330989
324,90,99,0.001,0.001,1350.99963
325,92,99,0.001,0.001,247.6832655
33,107,32,0.001,0.001,495.366531
34,107,71,0.001,0.001,1284.125172
35,107,96,0.001,0.001,2206.632729
36,108,128,0.001,0.001,1283.449648
37,108,164,0.001,0.001,1283.449648
38,109,177,0.001,0.001,2701.99926
39,109,47,0.001,0.001,1711.266198
4,1,136,0.001,0.001,1711.266198
40,109,72,0.001,0.001,2701.99926
