name,technology,bidding_EOM,bidding_redispatch,bidding_nodal,bidding_DAM,max_power,min_power,unit_operator,node
demand_1,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de0,181
demand_100_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de1,32
demand_101,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de2,174
demand_102,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de3,62
demand_103,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de4,40
demand_104_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de5,40
demand_105_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de6,162
demand_106_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de7,92
demand_107_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de8,92
demand_108,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de9,40
demand_109,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de10,184
demand_10_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de11,160
demand_11,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de12,4
demand_110,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de13,134
demand_111,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de14,182
demand_112,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de15,39
demand_113,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de16,92
demand_114,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de17,193
demand_115,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de18,102
demand_116,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de19,128
demand_117_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de20,80
demand_118,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de21,35
demand_119,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de22,31
demand_120_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de23,173
demand_121,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de24,31
demand_122,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de25,31
demand_123_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de26,102
demand_124_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de27,102
demand_125_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de28,194
