name,technology,bidding_EOM,max_power_charge,max_power_discharge,efficiency_charge,efficiency_discharge,min_soc,max_soc,additional_cost_charge,additional_cost_discharge,unit_operator
Tanzmühle - Rabenleite,PSPP,storage_learning,25,35,0.81,0.88,0,404,0.28,0.28,RL_operator
Schwarzenbachwerk,PSPP,storage_learning,20,46,0.73,0.82,0,198,0.28,0.28,RL_operator
Leitzach II,PSPP,storage_learning,38,49,0.86,0.9,0,550,0.28,0.28,RL_operator
Leitzach I,PSPP,storage_learning,40,51,0.86,0.9,0,550,0.28,0.28,RL_operator
Hohenwarte I,PSPP,storage_learning,34,63,0.8,0.87,0,504,0.28,0.28,RL_operator
Bleiloch,PSPP,storage_learning,32,80,0.8,0.87,0,640,0.28,0.28,RL_operator
Wendefurth,PSPP,storage_learning,72,80,0.82,0.88,0,523,0.28,0.28,RL_operator
Glems,PSPP,storage_learning,68,90,0.84,0.89,0,560,0.28,0.28,RL_operator
Reisach - Rabenleite,PSPP,storage_learning,84,100,0.85,0.9,0,630,0.28,0.28,RL_operator
Geesthacht,PSPP,storage_learning,96,105,0.81,0.87,0,600,0.28,0.28,RL_operator
Rönkhausen,PSPP,storage_learning,140,140,0.85,0.9,0,690,0.28,0.28,RL_operator
Waldeck I,PSPP,storage_learning,96,140,0.87,0.92,0,478,0.28,0.28,RL_operator
Häusern,PSPP,storage_learning,104,144,0.82,0.88,0,514,0.28,0.28,RL_operator
Koepchenwerk Herdecke II,PSPP,storage_learning,153,153,0.85,0.9,0,590,0.28,0.28,RL_operator
Happurg,PSPP,storage_learning,126,160,0.83,0.89,0,900,0.28,0.28,RL_operator
Langenprozelten,PSPP,storage_learning,154,168,0.85,0.9,0,950,0.28,0.28,RL_operator
Waldshut,PSPP,storage_learning,80,176,0.79,0.86,0,581,0.28,0.28,RL_operator
Erzhausen,PSPP,storage_learning,230,220,0.84,0.9,0,940,0.28,0.28,RL_operator
Witznau,PSPP,storage_learning,128,220,0.77,0.84,0,880,0.28,0.28,RL_operator
Hohenwarte II,PSPP,storage_learning,310,320,0.8,0.87,0,2087,0.28,0.28,RL_operator
Säckingen,PSPP,storage_learning,301,353,0.86,0.91,0,2064,0.28,0.28,RL_operator
Waldeck II,PSPP,storage_learning,476,440,0.87,0.92,0,3428,0.28,0.28,RL_operator
Wehr,PSPP,storage_learning,1000,992,0.86,0.9,0,6076,0.28,0.28,RL_operator
Markersbach,PSPP,storage_learning,1140,1050,0.84,0.89,0,4018,0.28,0.28,RL_operator
Goldisthal,PSPP,storage_learning,1140,1060,0.88,0.92,0,8480,0.28,0.28,RL_operator
