datetime,demand_EOM,demand_CRM_pos,demand_CRM_neg,pos_reserve_energy_DE,neg_reserve_energy_DE
2019-01-01 00:00:00,55084,2756,2827,4,576
2019-01-01 00:15:00,54612,2756,2827,632,1004
2019-01-01 00:30:00,54104,2756,2827,12,168
2019-01-01 00:45:00,53872,2756,2827,8,76
2019-01-01 01:00:00,53649,2756,2827,8,112
2019-01-01 01:15:00,53157,2756,2827,0,260
2019-01-01 01:30:00,52685,2756,2827,0,464
2019-01-01 01:45:00,52137,2756,2827,0,368
2019-01-01 02:00:00,52659,2756,2827,28,228
2019-01-01 02:15:00,52279,2756,2827,0,308
2019-01-01 02:30:00,52011,2756,2827,0,248
2019-01-01 02:45:00,51807,2756,2827,0,336
2019-01-01 03:00:00,51836,2756,2827,24,164
2019-01-01 03:15:00,51512,2756,2827,8,188
2019-01-01 03:30:00,51488,2756,2827,0,496
2019-01-01 03:45:00,51468,2756,2827,0,664
2019-01-01 04:00:00,51985,2756,2827,8,36
2019-01-01 04:15:00,51921,2756,2827,156,4
2019-01-01 04:30:00,51881,2756,2827,0,96
2019-01-01 04:45:00,51725,2756,2827,0,256
2019-01-01 05:00:00,52617,2756,2827,12,68
2019-01-01 05:15:00,52333,2756,2827,0,176
2019-01-01 05:30:00,52257,2756,2827,0,332
2019-01-01 05:45:00,51945,2756,2827,0,540
2019-01-01 06:00:00,52046,2756,2827,4,128
2019-01-01 06:15:00,52062,2756,2827,0,180
2019-01-01 06:30:00,52226,2756,2827,4,72
2019-01-01 06:45:00,52562,2756,2827,4,64
2019-01-01 07:00:00,53050,2756,2827,36,8
2019-01-01 07:15:00,53274,2756,2827,4,28
2019-01-01 07:30:00,53334,2756,2827,4,96
2019-01-01 07:45:00,53674,2756,2827,0,116
2019-01-01 08:00:00,54145,2756,2827,0,396
2019-01-01 08:15:00,54293,2756,2827,0,384
2019-01-01 08:30:00,54729,2756,2827,0,504
2019-01-01 08:45:00,55113,2756,2827,0,596
2019-01-01 09:00:00,55368,2756,2827,0,1164
2019-01-01 09:15:00,56040,2756,2827,4,852
2019-01-01 09:30:00,56832,2756,2827,0,308
2019-01-01 09:45:00,57472,2756,2827,0,252
2019-01-01 10:00:00,58542,2756,2827,0,256
2019-01-01 10:15:00,59138,2756,2827,0,184
2019-01-01 10:30:00,59754,2756,2827,0,164
2019-01-01 10:45:00,60258,2756,2827,0,368
2019-01-01 11:00:00,61445,2756,2827,0,1100
2019-01-01 11:15:00,62237,2756,2827,0,972
2019-01-01 11:30:00,62929,2756,2827,16,752
2019-01-01 11:45:00,63105,2756,2827,32,572
2019-01-01 12:00:00,63164,2756,2827,0,256
2019-01-01 12:15:00,63424,2756,2827,20,36
2019-01-01 12:30:00,63356,2756,2827,20,48
2019-01-01 12:45:00,63428,2756,2827,44,24
2019-01-01 13:00:00,63625,2756,2827,224,4
2019-01-01 13:15:00,63381,2756,2827,32,60
2019-01-01 13:30:00,63373,2756,2827,0,156
2019-01-01 13:45:00,63289,2756,2827,32,32
2019-01-01 14:00:00,64025,2756,2827,64,44
2019-01-01 14:15:00,63837,2756,2827,192,0
2019-01-01 14:30:00,63825,2756,2827,336,4
2019-01-01 14:45:00,63765,2756,2827,280,0
2019-01-01 15:00:00,64922,2756,2827,736,0
2019-01-01 15:15:00,64994,2756,2827,352,4
2019-01-01 15:30:00,65054,2756,2827,12,48
2019-01-01 15:45:00,65066,2756,2827,0,208
2019-01-01 16:00:00,65940,2756,2827,4,412
2019-01-01 16:15:00,66488,2756,2827,8,416
2019-01-01 16:30:00,67580,2756,2827,28,156
2019-01-01 16:45:00,68540,2756,2827,24,148
2019-01-01 17:00:00,68344,2756,2827,8,316
2019-01-01 17:15:00,68772,2756,2827,4,92
2019-01-01 17:30:00,69240,2756,2827,4,40
2019-01-01 17:45:00,69600,2756,2827,4,32
2019-01-01 18:00:00,68789,2756,2827,12,120
2019-01-01 18:15:00,68809,2756,2827,4,120
2019-01-01 18:30:00,68761,2756,2827,4,240
2019-01-01 18:45:00,68701,2756,2827,4,156
2019-01-01 19:00:00,67867,2756,2827,52,44
2019-01-01 19:15:00,67351,2756,2827,4,84
2019-01-01 19:30:00,66887,2756,2827,8,240
2019-01-01 19:45:00,66255,2756,2827,4,740
2019-01-01 20:00:00,65903,2756,2827,32,220
2019-01-01 20:15:00,65427,2756,2827,24,116
2019-01-01 20:30:00,64751,2756,2827,16,88
2019-01-01 20:45:00,64119,2756,2827,24,68
2019-01-01 21:00:00,63440,2756,2827,8,252
2019-01-01 21:15:00,63088,2756,2827,12,396
2019-01-01 21:30:00,62892,2756,2827,4,572
2019-01-01 21:45:00,62712,2756,2827,4,560
2019-01-01 22:00:00,62677,2756,2827,272,28
2019-01-01 22:15:00,62021,2756,2827,4,20
2019-01-01 22:30:00,61493,2756,2827,4,72
2019-01-01 22:45:00,60805,2756,2827,4,400
2019-01-01 23:00:00,59960,2756,2827,0,688
2019-01-01 23:15:00,59240,2756,2827,4,928
2019-01-01 23:30:00,58284,2756,2827,4,876
2019-01-01 23:45:00,57784,2756,2827,0,1456
2019-01-02 00:00:00,56036,2756,2827,0,1216
2019-01-02 00:15:00,55428,2756,2827,0,1372
2019-01-02 00:30:00,54836,2756,2827,0,1320
2019-01-02 00:45:00,54548,2756,2827,0,1624
2019-01-02 01:00:00,54827,2756,2827,76,1140
2019-01-02 01:15:00,54223,2756,2827,0,1388
2019-01-02 01:30:00,54099,2756,2827,4,1412
2019-01-02 01:45:00,53955,2756,2827,4,1676
2019-01-02 02:00:00,54412,2756,2827,4,948
2019-01-02 02:15:00,54236,2756,2827,0,976
2019-01-02 02:30:00,54132,2756,2827,4,1060
2019-01-02 02:45:00,54076,2756,2827,4,848
2019-01-02 03:00:00,54294,2756,2827,4,1028
2019-01-02 03:15:00,54630,2756,2827,0,1108
2019-01-02 03:30:00,55050,2756,2827,0,744
2019-01-02 03:45:00,55314,2756,2827,0,556
2019-01-02 04:00:00,55212,2756,2827,0,1128
2019-01-02 04:15:00,55548,2756,2827,0,948
2019-01-02 04:30:00,56216,2756,2827,4,820
2019-01-02 04:45:00,56800,2756,2827,0,864
2019-01-02 05:00:00,57924,2756,2827,0,676
2019-01-02 05:15:00,58496,2756,2827,0,424
2019-01-02 05:30:00,59812,2756,2827,0,420
2019-01-02 05:45:00,61300,2756,2827,4,300
2019-01-02 06:00:00,62903,2756,2827,0,1044
2019-01-02 06:15:00,64539,2756,2827,4,908
2019-01-02 06:30:00,65823,2756,2827,4,828
2019-01-02 06:45:00,67263,2756,2827,0,700
2019-01-02 07:00:00,67760,2756,2827,0,1568
2019-01-02 07:15:00,68892,2756,2827,0,1320
2019-01-02 07:30:00,69904,2756,2827,12,720
2019-01-02 07:45:00,70872,2756,2827,4,500
2019-01-02 08:00:00,71090,2756,2827,4,772
2019-01-02 08:15:00,71338,2756,2827,4,384
2019-01-02 08:30:00,72022,2756,2827,20,304
2019-01-02 08:45:00,72446,2756,2827,4,88
2019-01-02 09:00:00,72479,2756,2827,4,536
2019-01-02 09:15:00,72647,2756,2827,12,348
2019-01-02 09:30:00,73223,2756,2827,8,336
2019-01-02 09:45:00,73591,2756,2827,0,220
2019-01-02 10:00:00,74423,2756,2827,0,312
2019-01-02 10:15:00,74451,2756,2827,0,468
2019-01-02 10:30:00,74723,2756,2827,0,600
