datetime,DE_CH_merged_relation/14650683-220-a+2,DE_CH_merged_way/50306784-2-220+1,DE_CH_merged_relation/3916226-380-c+3,DE_CH_merged_way/195538144-1-380+6,DE_CH_merged_way/195538144-2-220+4,DE_CH_merged_way/27854188-2-220+1,DE_CH_merged_way/50306784-1-380+1,DE_CH_merged_way/62332171-380+3,DE_CH_relation/3915993-380-c,DE_CH_way/1327046560-380,DE_CH_relation/3916522-380-a,DE_CH_relation/5603845-380,DE_CH_relation/5603846-380,DE_DK_relation/12842815-400,DE_DK_way/907517163-380,DE_DK_relation/3732382-400-a,DE_AT_way/48616848-380,DE_AT_merged_way/26971631-220+1,DE_AT_merged_way/30970013-2-220+3,DE_AT_merged_way/30970013-1-380+3,DE_AT_way/133787551-220,DE_AT_way/125690613-220,DE_AT_way/125690616-220,DE_AT_relation/1750800-220-b,DE_CZ_way/157331464-380,DE_CZ_way/157331464-380.1,DE_CZ_way/157331464-380.2,DE_PL_relation/1188569-400,DE_PL_relation/2239286-400,DE_PL_relation/3730417-380,DE_PL_relation/3730418-380,DE_LU_relation/3756857-220-c,DE_LU_relation/3756858-220-b,DE_LU_merged_way/33813956-220+2,DE_LU_way/89176927-220,DE_FR_relation/3717718-400,DE_FR_relation/3717719-220,DE_FR_relation/3756990-380,DE_FR_relation/6170191-400,DE_FR_relation/3756991-220,DE_NL_merged_way/24846754-380+7,DE_NL_merged_way/29291584-380+4,DE_NL_relation/1637163-380,DE_NL_relation/9981859-380,DE_NL_merged_way/521228484-380+9,DE_SE,DE_BE,DE_NO
2023-01-01 00:00:00,-0.051075,-0.102375,-0.176625,-0.176625,-0.051075,-0.102375,-0.35325,-0.35325,-0.176625,-0.176625,-0.176625,-0.176625,-0.176625,-0.1282,-0.2436,-0.1282,-27.059175,-27.059175,-3.915725,-13.5256,-7.83145,-7.83145,-7.83145,-3.915725,-422.5,-211.25,-211.25,0.0,0.0,0.0,0.0,94.125,94.125,94.125,94.125,192.5679,52.9626,365.939,192.5679,52.9626,-232.9375,-232.9375,-116.46875,-116.46875,-232.9375,469.0,176.5,0.0
2023-01-01 01:00:00,-1.9976,-4.004,-6.908,-6.908,-1.9976,-4.004,-13.816,-13.816,-6.908,-6.908,-6.908,-6.908,-6.908,0.0,0.0,0.0,-15.2685,-15.2685,-2.2095,-7.632,-4.419,-4.419,-4.419,-2.2095,-401.0,-200.5,-200.5,0.0,0.0,0.0,0.0,94.75,94.75,94.75,94.75,0.0,0.0,0.0,0.0,0.0,-3.9375,-3.9375,-1.96875,-1.96875,-3.9375,506.0,-587.0,0.0
2023-01-01 02:00:00,-0.9307,-1.8655,-3.2185,-3.2185,-0.9307,-1.8655,-6.437,-6.437,-3.2185,-3.2185,-3.2185,-3.2185,-3.2185,0.0,0.0,0.0,-20.951775,-20.951775,-3.031925,-10.4728,-6.06385,-6.06385,-6.06385,-3.031925,-449.0,-224.5,-224.5,0.0,0.0,0.0,0.0,45.625,45.625,45.625,45.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.0,705.25,0.0
2023-01-01 03:00:00,-0.0681,-0.1365,-0.2355,-0.2355,-0.0681,-0.1365,-0.471,-0.471,-0.2355,-0.2355,-0.2355,-0.2355,-0.2355,0.0,0.0,0.0,-23.326875,-23.326875,-3.375625,-11.66,-6.75125,-6.75125,-6.75125,-3.375625,-435.5,-217.75,-217.75,174.6084,174.6084,165.8916,165.8916,28.4375,28.4375,28.4375,28.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.0,620.75,0.0
2023-01-01 04:00:00,-0.005675,-0.011375,-0.019625,-0.019625,-0.005675,-0.011375,-0.03925,-0.03925,-0.019625,-0.019625,-0.019625,-0.019625,-0.019625,0.0,0.0,0.0,-29.68875,-29.68875,-4.29625,-14.84,-8.5925,-8.5925,-8.5925,-4.29625,-481.0,-240.5,-240.5,143.0712,143.0712,135.9288,135.9288,25.3125,25.3125,25.3125,25.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.0,826.0,0.0
2023-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.7868,-25.7868,-3.7316,-12.8896,-7.4632,-7.4632,-7.4632,-3.7316,-460.0,-230.0,-230.0,152.558,152.558,144.942,144.942,31.8125,31.8125,31.8125,31.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.0,250.25,0.0
2023-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.1261,-26.1261,-3.7807,-13.0592,-7.5614,-7.5614,-7.5614,-3.7807,-451.0,-225.5,-225.5,177.6852,177.6852,168.8148,168.8148,11.75,11.75,11.75,11.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.0,359.75,0.0
2023-01-01 07:00:00,-0.10215,-0.20475,-0.35325,-0.35325,-0.10215,-0.20475,-0.7065,-0.7065,-0.35325,-0.35325,-0.35325,-0.35325,-0.35325,0.0,0.0,0.0,-26.97435,-26.97435,-3.90345,-13.4832,-7.8069,-7.8069,-7.8069,-3.90345,-453.0,-226.5,-226.5,219.222,219.222,208.278,208.278,20.0625,20.0625,20.0625,20.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.0,40.25,0.0
2023-01-01 08:00:00,-1.027175,-2.058875,-3.552125,-3.552125,-1.027175,-2.058875,-7.10425,-7.10425,-3.552125,-3.552125,-3.552125,-3.552125,-3.552125,0.0,0.0,0.0,-64.212525,-64.212525,-9.292175,-32.0968,-18.58435,-18.58435,-18.58435,-9.292175,0.0,0.0,0.0,142.302,142.302,135.198,135.198,26.6875,26.6875,26.6875,26.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.0,-57.25,0.0
2023-01-01 09:00:00,-1.816,-3.64,-6.28,-6.28,-1.816,-3.64,-12.56,-12.56,-6.28,-6.28,-6.28,-6.28,-6.28,0.0,0.0,0.0,-32.487975,-32.487975,-4.701325,-16.2392,-9.40265,-9.40265,-9.40265,-4.701325,76.5,38.25,38.25,156.6604,156.6604,148.8396,148.8396,24.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.0,64.5,0.0
