name,v_nom,carrier,x,y
1,220,AC,9.52257597,52.36040906
2,380,AC,9.113210075,52.54385332
3,380,AC,9.389745096,52.02631307
4,380,AC,9.125265703,52.53826409
5,380,AC,10.36627494,52.28464675
6,220,AC,9.918148646,52.37999631
7,380,AC,9.91717972,52.27816861
8,380,AC,10.41499234,53.41260688
9,380,AC,10.37877059,53.21979277
10,380,AC,12.9416466,52.5621144
11,220,AC,13.20610299,52.65713628
12,380,AC,13.70966971,52.53979526
13,380,AC,11.37042625,48.29149223
14,220,AC,11.8132329,48.22126647
15,380,AC,11.86815629,48.20680292
16,380,AC,10.76104038,52.36772938
17,380,AC,13.49476337,52.58976444
18,380,AC,13.68347697,54.13909064
19,220,AC,11.2939727,48.05204277
20,380,AC,9.98460982,53.74112878
21,380,AC,10.15750152,53.55513167
22,380,AC,9.202104201,53.89515741
23,220,AC,9.988536609,53.76627767
24,380,AC,9.72699197,54.29142099
25,380,AC,9.344760988,53.92183706
26,380,AC,9.344001772,53.85177746
27,220,AC,9.529605129,53.61899069
28,220,AC,9.776544839,53.69063526
29,380,AC,10.38216666,52.99325404
30,380,AC,9.501789668,53.54281437
31,380,AC,9.746150816,50.91683995
32,380,AC,11.12285456,50.99890907
33,380,AC,10.38594116,51.0018133
34,220,AC,8.122642303,53.56051605
35,220,AC,8.085650597,53.60583419
36,220,AC,8.060056958,53.62020258
37,380,AC,11.63891276,52.26873468
38,380,AC,13.21152765,52.58062781
39,380,AC,11.72735342,52.56894699
40,380,AC,13.14339291,53.90814698
41,380,AC,11.85310571,53.08654448
42,380,AC,12.18698482,53.81577517
43,220,AC,12.49936597,52.40522843
44,220,AC,13.50615345,52.47382231
45,220,AC,13.3057533,52.23078185
46,380,AC,13.52419873,52.53563427
47,380,AC,13.45643069,52.52145175
48,380,AC,13.53704421,52.53745652
49,380,AC,10.99933301,52.20014197
50,380,AC,10.97723323,52.16943332
51,380,AC,9.25938382,51.06036685
52,380,AC,8.313340166,49.00904346
53,380,AC,7.753495465,48.0993557
54,380,AC,8.438467512,49.25245973
55,220,AC,8.512111329,49.29396565
56,380,AC,8.623209675,49.35658225
57,220,AC,8.445542489,48.98608818
58,220,AC,8.641584063,48.89005248
59,380,AC,8.563743997,53.03172158
60,380,AC,8.474707049,53.42865119
61,380,AC,8.51888181,53.20263528
62,220,AC,8.820024872,53.10738829
63,220,AC,8.120769098,48.70483543
64,380,AC,11.44077465,48.17180355
65,380,AC,13.326405,50.34637219
66,380,AC,12.11476441,49.63115505
67,380,AC,8.695160756,53.09253608
68,380,AC,8.77244296,49.97466867
69,380,AC,8.419371059,49.63373568
70,380,AC,8.388556368,49.98230508
71,380,AC,12.26217349,51.74102028
72,380,AC,11.89426614,51.40570314
73,380,AC,13.15709049,51.82845166
74,380,AC,13.90243469,51.87472352
75,380,AC,11.51655497,51.58435921
76,380,AC,8.702218449,51.73635258
77,380,AC,8.992792404,51.3430094
78,380,AC,11.64637863,50.53487697
79,380,AC,14.47196547,51.55381272
80,380,AC,14.50810918,51.41371038
81,380,AC,14.42818049,51.88886414
82,220,AC,8.141913826,53.56400117
83,220,AC,10.15628246,54.27554826
84,220,AC,10.1773541,54.33952126
85,380,AC,7.034967965,52.20286074
86,380,AC,7.308204301,52.47683539
87,380,AC,7.060306992,51.69647601
88,220,AC,6.674675321,51.32495747
89,220,AC,6.723767145,51.35565438
90,380,AC,7.545717723,51.97032442
91,380,AC,7.305614485,52.48014919
92,380,AC,7.304338755,52.482426
93,380,AC,7.277153913,52.75324259
94,380,AC,8.307756897,52.34563564
95,380,AC,7.889576712,52.27739676
96,380,AC,7.317849944,52.46911149
97,380,AC,13.33528038,49.58968986
98,380,AC,12.21477351,54.10032344
99,380,AC,6.996476592,49.37540931
100,380,AC,6.47473977,49.9224693
101,380,AC,11.6993927,53.57227449
102,380,AC,11.37063737,53.60099108
103,380,AC,6.948213435,51.44457894
104,380,AC,6.926758964,51.49920568
105,380,AC,6.680787989,51.64629594
106,380,AC,7.16721461,51.38990676
107,380,AC,7.125572911,51.44897726
108,380,AC,6.99606888,51.51416959
109,380,AC,7.313182843,51.44661139
110,380,AC,7.992887233,51.68370772
111,380,AC,8.624800528,51.42788838
112,380,AC,7.353111869,51.5758105
113,380,AC,7.12323883,51.52561218
114,380,AC,8.211705976,51.17798548
115,220,AC,6.576482088,51.05559546
116,220,AC,6.772523094,51.14710549
117,380,AC,6.972577427,50.79569302
118,380,AC,7.136894697,50.64286088
119,380,AC,6.456552466,50.87133804
120,380,AC,7.863945714,50.76824191
121,380,AC,6.321664915,50.83834736
122,380,AC,6.16738169,50.80204429
123,380,AC,6.702203378,51.00886091
124,380,AC,6.612402315,51.03592426
125,380,AC,6.965684424,51.06932953
126,380,AC,7.233196843,51.23250691
127,380,AC,6.300901238,50.82895321
128,380,AC,7.44948529,50.40252766
129,380,AC,6.625827902,51.26060982
130,380,AC,7.123081952,51.17158878
131,380,AC,6.80109334,51.12253905
132,380,AC,7.00877914,51.17425492
133,380,AC,6.842650662,50.8635385
134,220,AC,6.80461158,50.9662453
135,380,AC,7.718627215,51.53420751
136,380,AC,7.930770086,51.67297102
137,220,AC,6.221831446,51.69464564
138,380,AC,7.006749879,51.59991142
139,220,AC,7.037619885,51.59854963
140,220,AC,7.264083463,51.57357341
141,220,AC,7.278947113,51.47228168
142,220,AC,7.186677553,51.55058907
143,380,AC,7.351357841,51.56836861
144,220,AC,7.179379125,51.47220195
145,220,AC,6.934888697,51.03352234
146,220,AC,6.828135969,51.16267624
147,220,AC,7.505973297,51.40159255
148,220,AC,6.846999311,51.20559177
149,220,AC,7.193165783,50.79833506
150,220,AC,7.047384524,50.90552861
151,220,AC,6.709673695,51.09094074
152,220,AC,7.012937426,50.61765849
153,220,AC,6.330068589,51.24291615
154,220,AC,7.023544499,50.99906841
155,220,AC,7.724384015,51.40933413
156,380,AC,6.842231151,50.85986472
157,380,AC,8.364229531,51.92712049
158,380,AC,6.488123264,50.88107031
159,380,AC,8.054087354,53.33230269
160,380,AC,8.477910636,53.42848547
161,220,AC,8.052837516,53.33388096
162,220,AC,6.851531138,50.98417047
163,380,AC,6.596019795,50.95252746
164,380,AC,7.338612586,51.63197813
165,380,AC,7.708318489,51.67620331
166,380,AC,7.617020995,51.63713376
167,220,AC,7.522280101,51.53219806
168,380,AC,6.90660779,51.56524245
169,220,AC,6.967343931,51.49086189
170,220,AC,6.872873594,51.44578334
171,220,AC,6.868044963,51.37447478
172,220,AC,6.787522517,51.5055501
173,380,AC,6.622843235,51.25871337
174,220,AC,6.812165881,51.51962001
175,220,AC,6.720310001,51.39153254
176,220,AC,6.542408443,51.29944582
177,220,AC,13.0786421,54.28484617
178,220,AC,8.020290338,50.92361689
179,220,AC,13.95700555,53.25217163
180,220,AC,14.27083467,53.09628655
181,220,AC,14.03369637,53.5078686
182,220,AC,14.4762521,53.19674955
183,380,AC,9.908847528,53.48804664
184,380,AC,6.617381091,51.47579096
185,220,AC,6.656735195,51.37952363
186,380,AC,6.711145274,51.52618755
187,380,AC,6.68934277,51.57642289
188,220,AC,6.723652372,51.37584581
189,380,AC,8.616647673,48.06595379
190,380,AC,8.872942805,48.31009126
191,380,AC,6.715252597,51.52679087
192,220,AC,12.18576518,53.8108598
193,220,AC,6.72256981,51.47978767
194,380,AC,6.683065683,51.57710478
195,380,AC,6.683106977,51.57564551
196,220,AC,6.745416767,51.49864195
197,220,AC,6.614278555,51.6186788
198,380,AC,7.970656894,51.67684467
199,220,AC,7.445069304,51.61850009
200,220,AC,6.73212495,51.45944374
201,380,AC,9.251034251,53.11443231
202,380,AC,7.320892575,52.47145723
203,380,AC,6.759174853,52.24885788
204,220,AC,7.706327269,51.27858316
205,220,AC,7.450342045,51.41360821
206,380,AC,6.634481623,51.03597994
207,220,AC,7.607116122,51.8986046
208,380,AC,7.403544434,51.64444949
209,380,AC,8.939692527,52.40303324
210,380,AC,9.409520327,52.03431667
211,380,AC,7.235793445,49.36939236
212,380,AC,6.813684315,49.72483407
213,220,AC,8.588690496,49.81551406
214,220,AC,8.547160925,49.44053967
215,220,AC,8.408269736,49.52856892
216,380,AC,9.190787437,48.91441687
217,380,AC,12.13206997,54.14245988
218,220,AC,12.21356054,54.11199985
219,380,AC,8.571258828,52.10536496
220,380,AC,8.659372903,51.99961013
221,380,AC,7.311362291,53.12576656
222,380,AC,6.949483972,53.12353782
223,220,AC,8.273278146,49.02939809
224,220,AC,8.35233388,49.42127434
225,220,AC,7.729201979,49.48264743
226,220,AC,9.797336027,52.00083925
227,380,AC,10.08215733,48.26609016
228,220,AC,8.627161258,49.54359527
229,220,AC,8.501808517,49.44491151
230,380,AC,10.39177606,48.51846091
231,380,AC,7.958054023,47.59547226
232,380,AC,10.08375127,48.26886752
233,380,AC,9.885515098,48.30407436
234,220,AC,9.01340238,47.84534863
235,220,AC,8.251925481,47.63976983
236,380,AC,9.196756526,48.91296344
237,220,AC,6.139811138,49.66860865
238,220,AC,6.620535568,49.74893867
239,220,AC,6.702285408,49.82899442
240,220,AC,8.531514939,50.04787433
241,380,AC,8.471371633,50.09720774
242,380,AC,8.065737966,50.40606811
245,380,AC,8.98953615,50.06025506
246,380,AC,8.958708562,50.08260781
247,380,AC,10.36338423,47.73833681
248,380,AC,7.461500259,51.61461431
249,380,AC,7.71823232,51.6743422
250,380,AC,7.71554342,51.67364307
251,380,AC,7.714594534,51.67309964
252,380,AC,7.712700934,51.67266366
253,380,AC,7.981221596,51.67352626
254,220,AC,7.792567149,49.81054878
255,220,AC,6.920130455,49.97058189
256,220,AC,6.755523406,49.36486959
257,380,AC,8.414674596,49.70914681
258,220,AC,9.882804298,51.5155075
259,220,AC,9.851393573,51.64913524
260,380,AC,8.785793025,48.5837674
261,380,AC,9.045434968,48.90296201
262,380,AC,9.801317167,47.65250432
263,380,AC,9.810916892,47.1426453
264,380,AC,9.425512386,48.0643508
265,220,AC,8.104959574,52.26426137
266,220,AC,12.13019063,47.91316548
267,380,AC,6.801823657,51.12478806
268,220,AC,7.985067458,50.84222544
269,380,AC,8.284861779,50.75907352
270,220,AC,7.224238427,53.34992715
271,220,AC,7.20605284,53.34131925
272,380,AC,9.318195236,54.71604941
273,220,AC,9.270633909,55.03702648
274,220,AC,9.433429304,55.01872292
275,220,AC,7.433489114,50.43651954
276,380,AC,7.593301849,50.38594379
277,220,AC,8.12215702,53.56583233
