name,technology,bidding_EOM,bidding_redispatch,max_power_charge,max_power_discharge,efficiency_charge,efficiency_discharge,min_soc,max_soc,additional_cost_charge,additional_cost_discharge,natural_inflow,unit_operator,node
battery_li_ion66,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,8.534889,8.534889,0.95,0.95,1,15.013527999999999,0.28,0.28,0,battery_operator_66,DE195-380
battery_li_ion67,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,21.463677,21.463677,0.95,0.95,1,41.173958999999996,0.28,0.28,0,battery_operator_67,DE196-380
battery_li_ion68,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,7.320195,7.320195,0.95,0.95,1,12.485453,0.28,0.28,0,battery_operator_68,DE197-380
battery_li_ion69,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,26.230764,26.230764,0.95,0.95,1,45.144432,0.28,0.28,0,battery_operator_69,DE199-380
battery_li_ion70,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,19.996261,19.996261,0.95,0.95,1,31.43674,0.28,0.28,0,battery_operator_70,DE20-380
battery_li_ion71,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,4.46394,4.46394,0.95,0.95,1,8.114319,0.28,0.28,0,battery_operator_71,DE200-380
battery_li_ion72,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,9.055323,9.055323,0.95,0.95,1,16.803536,0.28,0.28,0,battery_operator_72,DE201-220
battery_li_ion73,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,4.265105,4.265105,0.95,0.95,1,7.123464,0.28,0.28,0,battery_operator_73,DE202-220
battery_li_ion74,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,14.641232,14.641232,0.95,0.95,1,24.661216,0.28,0.28,0,battery_operator_74,DE202-380
battery_li_ion75,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,6.896011,6.896011,0.95,0.95,1,13.1024,0.28,0.28,0,battery_operator_75,DE204-220
battery_li_ion76,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,3.631436,3.631436,0.95,0.95,1,6.453842,0.28,0.28,0,battery_operator_76,DE205-220
