name,technology,bidding_EOM,bidding_nodal,bidding_DAM,bidding_redispatch,fuel_type,emission_factor,max_power,min_power,efficiency,additional_cost,node,unit_operator,operating_type
Unit_588,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,6.604954315,0,1,0,109,operator_588,Market
Unit_589,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,50.36951574,0,1,0,110,operator_589,Market
Unit_590,hydro,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,15.03284981,0,1,0,110,operator_590,Market
Unit_591,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,376.4659025,0,1,0,110,operator_591,Market
Unit_592,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,266.2245504,0,1,0,110,operator_592,Market
Unit_593,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,3.144985566,0,1,0,113,operator_593,Market
Unit_594,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,42.82743515,0,1,0,113,operator_594,Market
Unit_595,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,5.384632672,0,1,0,113,operator_595,Market
Unit_596,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,45.50528466,0,1,0,114,operator_596,Market
Unit_597,hydro,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,27.35802675,0,1,0,114,operator_597,Market
Unit_598,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,260.6682891,0,1,0,114,operator_598,Market
Unit_599,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,180.2008294,0,1,0,114,operator_599,Market
Unit_600,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,12.89633119,0,1,0,119,operator_600,Market
Unit_601,hydro,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,41.59527555,0,1,0,119,operator_601,Market
Unit_602,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,238.2780685,0,1,0,119,operator_602,Market
Unit_603,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,449.4125632,0,1,0,119,operator_603,Market
Unit_604,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,39.44447492,0,1,0,120,operator_604,Market
Unit_605,hydro,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,2.389306523,0,1,0,120,operator_605,Market
Unit_606,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,321.4776237,0,1,0,120,operator_606,Market
Unit_607,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,144.569661,0,1,0,120,operator_607,Market
Unit_608,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,14.10457873,0,1,0,122,operator_608,Market
Unit_609,hydro,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,2.070358972,0,1,0,122,operator_609,Market
Unit_610,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,185.2273363,0,1,0,122,operator_610,Market
Unit_611,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,270.3003661,0,1,0,122,operator_611,Market
Unit_612,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,4.361789535,0,1,0,126,operator_612,Market
Unit_613,hydro,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,1.484852863,0,1,0,126,operator_613,Market
Unit_614,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,79.38890021,0,1,0,126,operator_614,Market
Unit_615,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,12.06520596,0,1,0,126,operator_615,Market
Unit_616,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,12.9181812,0,1,0,128,operator_616,Market
Unit_617,hydro,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,25.16052677,0,1,0,128,operator_617,Market
Unit_618,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,178.0240037,0,1,0,128,operator_618,Market
Unit_619,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,63.75724437,0,1,0,128,operator_619,Market
Unit_620,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,41.42353365,0,1,0,130,operator_620,Market
Unit_621,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,5.384632672,0,1,0,130,operator_621,Market
Unit_622,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,4.806027452,0,1,0,132,operator_622,Market
Unit_623,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,154.3404074,0,1,0,132,operator_623,Market
Unit_624,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,3.318572527,0,1,0,132,operator_624,Market
Unit_625,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,24.8554348,0,1,0,134,operator_625,Market
Unit_626,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,239.8806728,0,1,0,134,operator_626,Market
Unit_627,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,84.65110789,0,1,0,134,operator_627,Market
Unit_628,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,49.26661178,0,1,0,137,operator_628,Market
Unit_629,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,426.8507916,0,1,0,137,operator_629,Market
Unit_630,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,401.3263888,0,1,0,137,operator_630,Market
Unit_631,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,29.28487983,0,1,0,142,operator_631,Market
Unit_632,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,275.4708478,0,1,0,142,operator_632,Market
Unit_633,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,198.5653532,0,1,0,142,operator_633,Market
Unit_634,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,1.713872868,0,1,0,144,operator_634,Market
Unit_635,hydro,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,2.030657024,0,1,0,144,operator_635,Market
Unit_636,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,65.95376393,0,1,0,144,operator_636,Market
Unit_637,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,6.524775495,0,1,0,149,operator_637,Market
Unit_638,hydro,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,1.507372329,0,1,0,149,operator_638,Market
Unit_639,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,300.6409647,0,1,0,149,operator_639,Market
Unit_640,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,3.756951861,0,1,0,149,operator_640,Market
Unit_641,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,10.9305411,0,1,0,151,operator_641,Market
Unit_642,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,203.2424159,0,1,0,151,operator_642,Market
Unit_643,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,246.1830646,0,1,0,151,operator_643,Market
Unit_644,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,3.958599929,0,1,0,152,operator_644,Market
Unit_645,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,96.89300895,0,1,0,152,operator_645,Market
