,Optimal Power Requirement (kW),Flex Power Requirement (kW)
0,0.0,0.07819999999999976
1,0.0,0.0800000000000002
2,0.0,0.03999999999999999
3,0.03,0.0
4,0.008505747126437679,4.336808689942018e-17
5,0.03,0.0
6,0.0,0.04
7,0.03413793103448278,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.03,0.0
13,0.0,0.040000000000000015
14,0.03,0.0
15,0.06,0.0
16,0.06,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.05758620689655085,0.0
22,0.0,0.04
23,0.0,0.07999999999999999
24,0.0,0.11999999999999997
25,0.0,0.09333333333333335
26,0.025172413793103417,0.053333333333333365
27,0.0,0.01333333333333337
28,0.0021839080459769623,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.06,0.0
33,0.0,0.04
34,0.0,0.028399999999999988
35,0.0,0.0
36,0.06,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.06,0.028000000000000073
45,0.0,0.06800000000000006
46,0.0,0.10800000000000004
47,0.0,0.14800000000000002
