,name,variable,value,simulation
0,EOM,avg_price,49.3334027777787,example_01_clearing_example_01a_complex_clearing
0,EOM,total_cost,-328195794.04749984,example_01_clearing_example_01a_complex_clearing
0,EOM,total_volume,-6572542.700000005,example_01_clearing_example_01a_complex_clearing
0,Unit 3,market_id,EOM,example_01_clearing_example_01a_complex_clearing
1,Unit 1,market_id,EOM,example_01_clearing_example_01a_complex_clearing
2,Unit 4,market_id,EOM,example_01_clearing_example_01a_complex_clearing
3,Unit 2,market_id,EOM,example_01_clearing_example_01a_complex_clearing
4,Unit 3,capacity_factor,0.8149632311977718,example_01_clearing_example_01a_complex_clearing
5,Unit 1,capacity_factor,1.0,example_01_clearing_example_01a_complex_clearing
6,Unit 4,capacity_factor,0.41586760033444814,example_01_clearing_example_01a_complex_clearing
7,Unit 2,capacity_factor,0.9998172533580362,example_01_clearing_example_01a_complex_clearing
