name,bus0,bus1,s_nom,x,r
0,AT0 0,CH0 0,5094.0,46.23791462366222,5.638770076056368
1,AT0 0,CZ0 0,10188.0,13.54475533015514,1.651799430506724
10,BE0 0,LU0 0,5094.0,15.256928803129645,1.860601073552396
11,BE0 0,NL0 0,20376.0,4.448425380231666,0.542490900028252
12,CH0 0,DE0 6,22074.0,2.793089010340652,0.3406206110171527
13,CH0 0,FR0 0,16980.0,12.676028233357917,1.545857101629014
14,CH0 0,IT0 0,10188.0,22.84455178330851,2.7859209491839647
15,CZ0 0,DE0 18,3396.0,35.028072779475714,4.271716192618989
16,CZ0 0,DE0 29,6792.0,17.71693058143539,2.16060129041895
17,CZ0 0,PL0 0,22074.0,8.26575447933947,1.0080188389438378
18,DE0 0,DE0 17,20376.0,1.5111893874600706,0.1842913887146427
19,DE0 0,DE0 20,13584.0,2.4669822072872414,0.300851488693566
21,DE0 0,DE0 25,1698.0,37.47153416907013,4.569699288910991
22,DE0 0,NL0 0,13584.0,5.311481893012017,0.6477416942697581
23,DE0 1,DE0 18,1698.0,20.35672462456196,2.482527393239262
24,DE0 1,DE0 18,5094.0,6.7855762935621815,0.8275093040929489
25,DE0 1,DE0 24,6792.0,8.978657246791611,1.0949582008282452
26,DE0 1,DE0 27,5094.0,18.386720760086067,2.2422830195226906
27,DE0 1,DE0 3,8490.0,5.107459535988299,0.6228609190229633
28,DE0 1,DE0 7,5094.0,17.934326614892026,2.1871130018161007
29,DE0 10,DE0 27,6792.0,4.696662914287742,0.5727637700350904
3,AT0 0,DE0 10,1698.0,82.98270740275008,10.119842366189031
30,DE0 10,DE0 7,3396.0,10.169889697695153,1.2402304509384328
31,DE0 11,DE0 16,1698.0,54.35592862060759,6.628771783000925
32,DE0 11,DE0 2,5094.0,17.142701077687107,2.0905733021569644
33,DE0 11,DE0 2,5094.0,17.14270094140512,2.09057328553721
34,DE0 11,DE0 2,5094.0,17.142700941352086,2.090573285530742
35,DE0 11,DE0 24,3396.0,20.69995357704735,2.5243845825667504
36,DE0 11,DE0 24,5094.0,13.799970601441103,1.6829232440781834
37,DE0 11,DE0 4,6792.0,9.42715994360006,1.1496536516585438
38,DE0 11,DE0 8,5094.0,12.796475769059224,1.5605458254950269
39,DE0 12,DE0 20,5094.0,14.299152150443428,1.7437990427370034
4,AT0 0,DE0 14,6792.0,11.26650842614226,1.373964442212471
40,DE0 12,DE0 25,1698.0,41.13578656562298,5.016559337271096
41,DE0 12,DE0 9,6792.0,9.57942146637044,1.1682221300451754
42,DE0 12,FR0 0,6792.0,30.16750220217964,3.678963683192639
43,DE0 12,LU0 0,5094.0,4.618733879545134,0.5632602292128213
44,DE0 13,DE0 19,8490.0,10.297808340461804,1.2558302854221712
45,DE0 13,DE0 25,8490.0,4.819058049667953,0.5876900060570673
46,DE0 13,DE0 3,8490.0,5.634612058472435,0.6871478120088335
47,DE0 13,DE0 9,8490.0,6.686411606222507,0.8154160495393301
48,DE0 14,DE0 18,1698.0,48.78636035479486,5.949556140828641
49,DE0 14,DE0 7,6792.0,7.600626015265472,0.9269056116177404
5,AT0 0,DE0 27,3396.0,49.3088155562892,6.013270189791367
50,DE0 14,DE0 7,5094.0,10.134169909372751,1.2358743791917992
51,DE0 15,DE0 2,6792.0,10.035203443056169,1.2238052979336789
52,DE0 15,DE0 23,11886.0,3.070389006321817,0.3744376836977825
53,DE0 15,DE0 5,10188.0,5.417633724702072,0.6606870395978136
54,DE0 15,DE0 8,6792.0,12.732191194926196,1.552706243283683
55,DE0 16,DE0 29,11886.0,6.157919913390825,0.750965843096442
56,DE0 16,DE0 4,11886.0,5.442172966291284,0.6636796300355223
57,DE0 16,PL0 0,8490.0,21.04704014283405,2.566712212540738
58,DE0 17,DE0 19,3396.0,18.385689440321585,2.242157248819705
59,DE0 17,DE0 20,1698.0,28.047241491385424,3.4203953038274904
6,AT0 0,DE0 7,1698.0,62.1806220151931,7.583002684779647
60,DE0 17,DE0 22,10188.0,8.992285335020288,1.096620162807352
61,DE0 17,DE0 25,5094.0,16.56359879095776,2.0199510720680194
62,DE0 17,DE0 28,13584.0,3.3963061098877825,0.4141836719375344
63,DE0 18,DE0 29,5094.0,11.983013126383106,1.4613430641930616
64,DE0 19,DE0 24,6792.0,12.229961561920566,1.4914587270634836
65,DE0 19,DE0 28,10188.0,5.346941597275579,0.6520660484482413
66,DE0 19,DE0 3,5094.0,22.209515218202416,2.708477465634441
67,DE0 19,DE0 8,6792.0,8.74192083449573,1.0660879066458206
68,DE0 2,DE0 26,6792.0,8.768493112513637,1.0693284283553215
69,DE0 20,DE0 25,10188.0,4.218220498358786,0.5144171339461935
70,DE0 20,NL0 0,6792.0,16.235788582637465,1.9799742173948127
71,DE0 21,DE0 27,6792.0,6.359853597522889,0.7755919021369376
72,DE0 21,DE0 3,5094.0,16.1253102725402,1.966501252748805
73,DE0 21,DE0 6,6792.0,10.810202534473165,1.3183173822528251
74,DE0 21,DE0 9,10188.0,3.78270887961149,0.4613059609282304
75,DE0 22,DE0 5,11886.0,3.3769360271135813,0.4118214667211684
76,DE0 22,NL0 0,6792.0,15.28505036890496,1.864030532793288
77,DE0 23,DE0 5,6792.0,10.407800279016625,1.2692439364654418
78,DE0 23,DK0 0,11886.0,9.667642378428903,1.1789807778571837
8,AT0 0,IT0 0,5094.0,58.16783440363454,7.09363834190665
81,DE0 24,DE0 29,8490.0,6.386902771513304,0.7788905818918663
82,DE0 24,DE0 3,5094.0,14.514303697898356,1.7700370363290678
83,DE0 25,DE0 9,5094.0,19.75521559959913,2.4091726340974544
84,DE0 26,DE0 4,8490.0,7.933072358185984,0.9674478485592664
86,DE0 26,PL0 0,5094.0,40.55291826723543,4.945477837467734
87,DE0 27,DE0 3,1698.0,52.47091312993971,6.398891845114599
88,DE0 27,DE0 6,5094.0,15.488772718659938,1.8888747217877973
89,DE0 28,DE0 5,18678.0,2.795230193693505,0.3408817309382324
9,BE0 0,FR0 0,6792.0,32.71824018062612,3.9900292903202574
90,DE0 28,DE0 8,1698.0,34.58002446621712,4.217076154416722
91,DE0 6,DE0 9,5094.0,15.77062353013856,1.923246771968117
92,DE0 6,DE0 9,5094.0,15.770623528651178,1.923246771786729
93,DE0 6,FR0 0,3396.0,57.75203780671482,7.042931439843271
94,DE0 9,FR0 0,1698.0,137.94351484390904,16.822379859013296
95,DK1 0,SE1 0,6792.0,46.0041562036938,5.610262951669975
96,ES0 0,FR0 0,6792.0,67.61497841995536,8.245729075604311
