name,energy,capacity_pos,capacity_neg
STAUDINGER 5,flexable_eom,flexable_pos_crm,flexable_neg_crm
HERNE BLOCK 4,flexable_eom,flexable_pos_crm,flexable_neg_crm
GKM 8,flexable_eom,flexable_pos_crm,flexable_neg_crm
GKM 7,flexable_eom,flexable_pos_crm,flexable_neg_crm
ZOLLING LEININGER 5,flexable_eom,flexable_pos_crm,flexable_neg_crm
ALTBACH DEIZISAU HKW I,flexable_eom,flexable_pos_crm,flexable_neg_crm
WALSUM BLOCK 9,flexable_eom,flexable_pos_crm,flexable_neg_crm
SCHOLVEN C,flexable_eom,flexable_pos_crm,flexable_neg_crm
SCHOLVEN B,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW MUENCHEN NORD 2,flexable_eom,flexable_pos_crm,flexable_neg_crm
KIEL A,flexable_eom,flexable_pos_crm,flexable_neg_crm
BREMEN FARGE,flexable_eom,flexable_pos_crm,flexable_neg_crm
ALTBACH DEIZISAU HKW II,flexable_eom,flexable_pos_crm,flexable_neg_crm
BREMEN HAFEN 6,flexable_eom,flexable_pos_crm,flexable_neg_crm
WERDOHL ELVERLINGSEN E4,flexable_eom,flexable_pos_crm,flexable_neg_crm
GKH HANNOVER,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW BERLIN REUTER WEST E,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW BERLIN REUTER WEST D,flexable_eom,flexable_pos_crm,flexable_neg_crm
GKM 6,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW FENNE C,flexable_eom,flexable_pos_crm,flexable_neg_crm
MKW FENNE B,flexable_eom,flexable_pos_crm,flexable_neg_crm
HAMBURG TIEFSTACK,flexable_eom,flexable_pos_crm,flexable_neg_crm
WALHEIM 2,flexable_eom,flexable_pos_crm,flexable_neg_crm
WEDEL 1,flexable_eom,flexable_pos_crm,flexable_neg_crm
WEDEL 2,flexable_eom,flexable_pos_crm,flexable_neg_crm
KW BERLIN REUTER BlOCK C,flexable_eom,flexable_pos_crm,flexable_neg_crm
BREMEN HASTEDT 15,flexable_eom,flexable_pos_crm,flexable_neg_crm
HEILBRONN 6,flexable_eom,flexable_pos_crm,flexable_neg_crm
HEILBRONN 5,flexable_eom,flexable_pos_crm,flexable_neg_crm
WALHEIM 1,flexable_eom,flexable_pos_crm,flexable_neg_crm
WUPPERTAL ELBERFELD 2,flexable_eom,flexable_pos_crm,flexable_neg_crm
BERLIN MOABIT A,flexable_eom,flexable_pos_crm,flexable_neg_crm
FERNWAERMEKRAFTWERK BUER,flexable_eom,flexable_pos_crm,flexable_neg_crm
STUTTGART MUENSTER K25,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW FRANKFURT WEST 2,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW FRANKFURT WEST 3,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW OFFENBACH 1,flexable_eom,flexable_pos_crm,flexable_neg_crm
HOECHST 3,flexable_eom,flexable_pos_crm,flexable_neg_crm
ROEMERBRUCKE 2,flexable_eom,flexable_pos_crm,flexable_neg_crm
KARLSRUHE WEST 3,flexable_eom,flexable_pos_crm,flexable_neg_crm
FLENSBURG 11,flexable_eom,flexable_pos_crm,flexable_neg_crm
FLENSBURG 09,flexable_eom,flexable_pos_crm,flexable_neg_crm
FLENSBURG 10,flexable_eom,flexable_pos_crm,flexable_neg_crm
KASSEL SWEW 1,flexable_eom,flexable_pos_crm,flexable_neg_crm
ROMERBRUCKE 3,flexable_eom,flexable_pos_crm,flexable_neg_crm
KARLSRUHE WEST 1,flexable_eom,flexable_pos_crm,flexable_neg_crm
KARLSRUHE WEST 2,flexable_eom,flexable_pos_crm,flexable_neg_crm
PFORZHEIM III NO 1,flexable_eom,flexable_pos_crm,flexable_neg_crm
IRSCHING 5,flexable_eom,flexable_pos_crm,flexable_neg_crm
EMSLAND LINGEN D,flexable_eom,flexable_pos_crm,flexable_neg_crm
GUD HUERTH KNAPSACK 1,flexable_eom,flexable_pos_crm,flexable_neg_crm
KW LAUSWARD BLOCK FORTUNA GUD,flexable_eom,flexable_pos_crm,flexable_neg_crm
DORMAGEN RWE,flexable_eom,flexable_pos_crm,flexable_neg_crm
IRSCHING 4,flexable_eom,flexable_pos_crm,flexable_neg_crm
KW BASF LUDWIGSHAFEN MITTE,flexable_eom,flexable_pos_crm,flexable_neg_crm
EMSLAND LINGEN B,flexable_eom,flexable_pos_crm,flexable_neg_crm
EMSLAND LINGEN C,flexable_eom,flexable_pos_crm,flexable_neg_crm
KW BREMEN MITTELSBUEREN BLOCK 5 GUD,flexable_eom,flexable_pos_crm,flexable_neg_crm
BERLIN MITTE HKW,flexable_eom,flexable_pos_crm,flexable_neg_crm
GUD HUERTH KNAPSACK 2,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW MUENCHEN SUED GUD,flexable_eom,flexable_pos_crm,flexable_neg_crm
KW LAUSWARD BLOCK EMIL GUD,flexable_eom,flexable_pos_crm,flexable_neg_crm
KW HERDECKE CUNO MARK E,flexable_eom,flexable_pos_crm,flexable_neg_crm
GERSTEINWERK BLOCK F,flexable_eom,flexable_pos_crm,flexable_neg_crm
GERSTEINWERK BLOCK G,flexable_eom,flexable_pos_crm,flexable_neg_crm
KOELN NIEHL 2,flexable_eom,flexable_pos_crm,flexable_neg_crm
HAMM UENTROP BLOCK 10,flexable_eom,flexable_pos_crm,flexable_neg_crm
HAMM UENTROP BLOCK 20,flexable_eom,flexable_pos_crm,flexable_neg_crm
MAINZ III,flexable_eom,flexable_pos_crm,flexable_neg_crm
KW BASF LUDWIGSHAFEN SUED,flexable_eom,flexable_pos_crm,flexable_neg_crm
RDK (KARLSRUHE) 4RP,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW DRESDEN NOSSENER BRUECKE,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW HANNOVER LINDEN,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW DUISBURG WANHEIM IIIB,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW HAGEN KABEL,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW HOECHST BUSINESS PARK,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW JENA SUED,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW LEIPZIG NORD GUD,flexable_eom,flexable_pos_crm,flexable_neg_crm
KIRCHMOESER,flexable_eom,flexable_pos_crm,flexable_neg_crm
KW KIRCHLENGERN,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW MUENCHEN FREIMANN GUD,flexable_eom,flexable_pos_crm,flexable_neg_crm
HAMBURG TIEFSTACK GUD,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW SAARBRUECKEN ROEMERBRUECKE GUD,flexable_eom,flexable_pos_crm,flexable_neg_crm
GUD LEUNA,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW ERFURT OST,flexable_eom,flexable_pos_crm,flexable_neg_crm
GUD BITTERFELD ENVIA,flexable_eom,flexable_pos_crm,flexable_neg_crm
GUD ANLAGE RÜSSELSHEIM OPEL,flexable_eom,flexable_pos_crm,flexable_neg_crm
GUD ROSTOCK MARIENEHE,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW KOELN MERKENICH GUD,flexable_eom,flexable_pos_crm,flexable_neg_crm
GUD MUENSTER HAFEN,flexable_eom,flexable_pos_crm,flexable_neg_crm
KW LAUSWARD BLOCK ANTON GUD,flexable_eom,flexable_pos_crm,flexable_neg_crm
KW PLATTLING DAIMLER AG,flexable_eom,flexable_pos_crm,flexable_neg_crm
HALLE TROTHA,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW BARMEN I WUPPERTAL,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW POTSDAM SUED,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW FRANKFURT ODER AM HOHEN FELD,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW SANDREUTH 1 NUERNBERG,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW SANDREUTH 2 NUERNBERG,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW GUD NEUBRANDENBURG,flexable_eom,flexable_pos_crm,flexable_neg_crm
GUD GERA NORD,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW FLENSBURG 12,flexable_eom,flexable_pos_crm,flexable_neg_crm
SCHWERIN SUD,flexable_eom,flexable_pos_crm,flexable_neg_crm
FREIBURG WVK,flexable_eom,flexable_pos_crm,flexable_neg_crm
PKV KRAFTWERK VAREL,flexable_eom,flexable_pos_crm,flexable_neg_crm
KW BASF LUDWIGSHAFEN NORD,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW ELTMANN,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW KASSEL KOMBI,flexable_eom,flexable_pos_crm,flexable_neg_crm
KW HALLE DIESELSTRASSE BLOCK 1,flexable_eom,flexable_pos_crm,flexable_neg_crm
KW HALLE DIESELSTRASSE BLOCK 2,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW FRIEDENSBRUECKE BLOCK IV,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW HILTROP BOCHUM,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW PFORZHEIM,flexable_eom,flexable_pos_crm,flexable_neg_crm
KW GRENZACH WYHLEN 1,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW SUD SAARBRUECKEN,flexable_eom,flexable_pos_crm,flexable_neg_crm
GUD BIELEFELD HILLEGOSSEN,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW UNTERBREIZBACH,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW ERLANGEN,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW FRIEDENSBRUECKE BLOCK II,flexable_eom,flexable_pos_crm,flexable_neg_crm
KWK ANLAGE KREFELD,flexable_eom,flexable_pos_crm,flexable_neg_crm
KWK ANLAGE NEUSTADT,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW SCHWERIN LANKOW,flexable_eom,flexable_pos_crm,flexable_neg_crm
KWK ANLAGE MOHN MEDIA GÜTERSLOH,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW HBB RAUBLING,flexable_eom,flexable_pos_crm,flexable_neg_crm
KW STAUDINGER 4,flexable_eom,flexable_pos_crm,flexable_neg_crm
NUERNBERG FRANKEN 1,flexable_eom,flexable_pos_crm,flexable_neg_crm
IRSCHING 3,flexable_eom,flexable_pos_crm,flexable_neg_crm
KW HUNTORF CAES GT,flexable_eom,flexable_pos_crm,flexable_neg_crm
KW DUISBURG HUCKINGEN BLOCK A,flexable_eom,flexable_pos_crm,flexable_neg_crm
KW DUISBURG HUCKINGEN BLOCK B,flexable_eom,flexable_pos_crm,flexable_neg_crm
KW WEISWEILER VGT BLOCK G,flexable_eom,flexable_pos_crm,flexable_neg_crm
KW WEISWEILER VGT BLOCK H,flexable_eom,flexable_pos_crm,flexable_neg_crm
DKW BGH O1 BURGHAUSEN WACKER CHEMIE,flexable_eom,flexable_pos_crm,flexable_neg_crm
KW MITTELSBUEREN BLOCK 4,flexable_eom,flexable_pos_crm,flexable_neg_crm
KW BREMEN HASTEDT 14,flexable_eom,flexable_pos_crm,flexable_neg_crm
LICHTERFELDE 2,flexable_eom,flexable_pos_crm,flexable_neg_crm
KW HANNOVER HERRENHAUSEN B,flexable_eom,flexable_pos_crm,flexable_neg_crm
HKW FRANKFURT WEST GT,flexable_eom,flexable_pos_crm,flexable_neg_crm
KW MAINZ II GT,flexable_eom,flexable_pos_crm,flexable_neg_crm
KW MARL BLOCK 312 EVONIK,flexable_eom,flexable_pos_crm,flexable_neg_crm
CHARLOTTENBURG GT 1,flexable_eom,flexable_pos_crm,flexable_neg_crm
CHARLOTTENBURG GT 2,flexable_eom,flexable_pos_crm,flexable_neg_crm
