tick,electricity_price
0,24.895
1,24.89671875
2,24.8984375
3,24.90015625
4,24.901875
5,24.90359375
6,24.9053125
7,24.90703125
8,24.90875
9,24.91046875
10,24.9121875
11,24.91390625
12,24.915625
13,24.91734375
14,24.9190625
15,24.92078125
16,24.9225
17,24.92421875
18,24.9259375
19,24.92765625
20,24.929375
21,24.93109375
22,24.9328125
23,24.93453125
24,24.93625
25,24.93796875
26,24.9396875
27,24.94140625
28,24.943125
29,24.94484375
30,24.9465625
31,24.94828125
32,24.95
33,24.95171875
34,24.9534375
35,24.95515625
36,24.956875
37,24.95859375
38,24.9603125
39,24.96203125
40,24.96375
41,24.96546875
42,24.9671875
43,24.96890625
44,24.970625
45,24.97234375
46,24.9740625
47,24.97578125
48,24.9775
49,24.97921875
50,24.9809375
51,24.98265625
52,24.984375
53,24.98609375
54,24.9878125
55,24.98953125
56,24.99125
57,24.99296875
58,24.9946875
59,24.99640625
60,24.998125
61,24.99984375
62,25.0015625
63,25.00328125
64,25.005
65,25.00671875
66,25.0084375
67,25.01015625
68,25.011875
69,25.01359375
70,25.0153125
71,25.01703125
72,25.01875
73,25.02046875
74,25.0221875
75,25.02390625
76,25.025625
77,25.02734375
78,25.0290625
79,25.03078125
80,25.0325
81,25.03421875
82,25.0359375
83,25.03765625
84,25.039375
85,25.04109375
86,25.0428125
87,25.04453125
88,25.04625
89,25.04796875
90,25.0496875
91,25.05140625
92,25.053125
93,25.05484375
94,25.0565625
95,25.05828125
96,25.06
97,25.039375
98,25.01875
99,24.998125
100,24.9775
101,24.956875
102,24.93625
103,24.915625
104,24.895
105,24.874375
106,24.85375
107,24.833125
108,24.8125
109,24.791875
110,24.77125
111,24.750625
112,24.73
113,24.709375
114,24.68875
115,24.668125
116,24.6475
117,24.626875
118,24.60625
119,24.585625
120,24.565
121,24.544375
122,24.52375
123,24.503125
124,24.4825
125,24.461875
126,24.44125
127,24.420625
128,24.4
129,24.379375
130,24.35875
131,24.338125
132,24.3175
133,24.296875
134,24.27625
135,24.255625
136,24.235
137,24.214375
138,24.19375
139,24.173125
140,24.1525
141,24.131875
142,24.11125
143,24.090625
144,24.07
145,24.049375
146,24.02875
147,24.008125
148,23.9875
149,23.966875
150,23.94625
151,23.925625
152,23.905
153,23.884375
154,23.86375
155,23.843125
156,23.8225
157,23.801875
158,23.78125
159,23.760625
160,23.74
161,23.719375
162,23.69875
163,23.678125
164,23.6575
165,23.636875
166,23.61625
167,23.595625
168,23.575
169,23.554375
170,23.53375
171,23.513125
172,23.4925
173,23.471875
174,23.45125
175,23.430625
176,23.41
177,23.389375
178,23.36875
179,23.348125
180,23.3275
181,23.306875
182,23.28625
183,23.265625
184,23.245
185,23.224375
186,23.20375
187,23.183125
188,23.1625
189,23.141875
190,23.12125
191,23.100625
192,23.08
193,23.08479167
194,23.08958333
195,23.094375
196,23.09916667
197,23.10395833
198,23.10875
199,23.11354167
200,23.11833333
201,23.123125
202,23.12791667
203,23.13270833
204,23.1375
205,23.14229167
206,23.14708333
207,23.151875
208,23.15666667
209,23.16145833
210,23.16625
211,23.17104167
212,23.17583333
213,23.180625
214,23.18541667
215,23.19020833
216,23.195
217,23.19979167
218,23.20458333
219,23.209375
220,23.21416667
221,23.21895833
222,23.22375
