datetime,hard coal,natural gas,oil,biomass,renewable,waste,co2,hydrogen
1/1/2045 0:00,138.4469111,104.8324647,146.5723775,85.88045698,0.0,,317.1882853,105.04229067621097
1/1/2045 1:00,138.4469111,104.8324647,146.5723775,85.88045698,0.0,,317.1882853,105.04229067621097
1/1/2045 2:00,138.4469111,104.8324647,146.5723775,85.88045698,0.0,,317.1882853,105.04229067621097
1/1/2045 3:00,138.4469111,104.8324648,146.5723775,85.88046222,0.0,,317.210058,105.0239367020304
1/1/2045 4:00,138.4469111,104.8324648,146.5723775,85.88046222,0.0,,317.210058,105.0239367020304
1/1/2045 5:00,138.4469111,104.8324648,146.5723775,85.88046222,0.0,,317.210058,105.0239367020304
1/1/2045 6:00,138.4469111,104.8324648,146.5723776,85.88046444,0.0,,317.2236241,105.13117412669182
1/1/2045 7:00,138.4469111,104.8324648,146.5723776,85.88046444,0.0,,317.2236241,105.13117412669182
1/1/2045 8:00,138.4469111,104.8324648,146.5723776,85.88046444,0.0,,317.2236241,105.13117412669182
1/1/2045 9:00,138.4469111,104.8324648,146.5723776,85.88046585,0.0,,317.2343681,104.83610359229148
1/1/2045 10:00,138.4469111,104.8324648,146.5723776,85.88046585,0.0,,317.2343681,104.83610359229148
1/1/2045 11:00,138.4469111,104.8324648,146.5723776,85.88046585,0.0,,317.2343681,104.83610359229148
1/1/2045 12:00,138.4469111,104.8324648,146.5723776,85.88046691,0.0,,317.2165765,104.68015779181717
1/1/2045 13:00,138.4469111,104.8324648,146.5723776,85.88046691,0.0,,317.2165765,104.68015779181717
1/1/2045 14:00,138.4469111,104.8324648,146.5723776,85.88046691,0.0,,317.2165765,104.68015779181717
1/1/2045 15:00,138.4469111,104.8324648,146.5723776,85.88046776,0.0,,317.0928258,104.67274278996625
1/1/2045 16:00,138.4469111,104.8324648,146.5723776,85.88046776,0.0,,317.0928258,104.67274278996625
1/1/2045 17:00,138.4469111,104.8324648,146.5723776,85.88046776,0.0,,317.0928258,104.67274278996625
1/1/2045 18:00,138.4469111,104.8324648,146.5723775,85.88046846,0.0,,317.101151,104.65539361234438
1/1/2045 19:00,138.4469111,104.8324648,146.5723775,85.88046846,0.0,,317.101151,104.65539361234438
1/1/2045 20:00,138.4469111,104.8324648,146.5723775,85.88046846,0.0,,317.101151,104.65539361234438
1/1/2045 21:00,138.4469111,104.8324647,146.5723775,85.88046907,0.0,,317.1080511,104.65548064893139
1/1/2045 22:00,138.4469111,104.8324647,146.5723775,85.88046907,0.0,,317.1080511,104.65548064893139
1/1/2045 23:00,138.4469111,104.8324647,146.5723775,85.88046907,0.0,,317.1080511,104.65548064893139
1/2/2045 0:00,138.4469111,104.8324648,146.5723775,85.88046961,0.0,,317.0820225,104.65532908164586
1/2/2045 1:00,138.4469111,104.8324648,146.5723775,85.88046961,0.0,,317.0820225,104.65532908164586
1/2/2045 2:00,138.4469111,104.8324648,146.5723775,85.88046961,0.0,,317.0820225,104.65532908164586
1/2/2045 3:00,138.4469111,104.8324648,146.5723775,85.8804701,0.0,,316.975451,104.65674749936385
1/2/2045 4:00,138.4469111,104.8324648,146.5723775,85.8804701,0.0,,316.975451,104.65674749936385
1/2/2045 5:00,138.4469111,104.8324648,146.5723775,85.8804701,0.0,,316.975451,104.65674749936385
1/2/2045 6:00,138.4469111,104.8324648,146.5723776,85.88047053,0.0,,316.9833507,104.67843484115113
1/2/2045 7:00,138.4469111,104.8324648,146.5723776,85.88047053,0.0,,316.9833507,104.67843484115113
1/2/2045 8:00,138.4469111,104.8324648,146.5723776,85.88047053,0.0,,316.9833507,104.67843484115113
1/2/2045 9:00,138.4469111,104.8324648,146.5723776,85.88047091,0.0,,316.9911342,104.67614947267086
1/2/2045 10:00,138.4469111,104.8324648,146.5723776,85.88047091,0.0,,316.9911342,104.67614947267086
