datetime,co2_price,electricity_price,electricity_price_flex,natural_gas_price,hydrogen_gas_price,coal_price,A360_clinker_demand,price_EOM
1/1/2035 0:00,30,11.5,11.5,50,50,20,10.17461072,0
1/1/2035 1:00,30,11.41,11.41,50,50,20,10.17461072,0
1/1/2035 2:00,30,11.4,11.4,50,50,20,10.17461072,0
1/1/2035 3:00,30,11.39,11.39,50,50,20,10.17461072,0
1/1/2035 4:00,30,11.37,11.37,50,50,20,10.17461072,0
1/1/2035 5:00,30,11.38,11.38,50,50,20,10.17461072,0
1/1/2035 6:00,30,11.35,11.35,50,50,20,10.35048389,0
1/1/2035 7:00,30,11.38,11.38,50,50,20,10.46101805,0
1/1/2035 8:00,30,11.4,11.4,50,50,20,10.60839693,0
1/1/2035 9:00,30,11.44,11.44,50,50,20,10.60839693,0
1/1/2035 10:00,30,11.46,11.46,50,50,20,10.60839693,0
1/1/2035 11:00,30,11.94,11.94,50,50,20,10.60839693,0
1/1/2035 12:00,30,13.64,13.64,50,50,20,10.60839693,0
1/1/2035 13:00,30,13.36,13.36,50,50,20,10.60839693,0
1/1/2035 14:00,30,12.44,12.44,50,50,20,10.46101805,0
1/1/2035 15:00,30,15.06,15.06,50,50,20,10.35048389,0
1/1/2035 16:00,30,54.46,54.46,50,50,20,10.23994974,0
1/1/2035 17:00,30,61.33,61.33,50,50,20,10.23994974,0
1/1/2035 18:00,30,69.4,69.4,50,50,20,10.23994974,0
1/1/2035 19:00,30,65.65,65.65,50,50,20,10.23994974,0
1/1/2035 20:00,30,59.41,59.41,50,50,20,10.23994974,0
1/1/2035 21:00,30,54.35,54.35,50,50,20,10.23994974,0
1/1/2035 22:00,30,58.49,58.49,50,50,20,10.17461072,0
1/1/2035 23:00,30,46.95,46.95,50,50,20,10.17461072,0
1/2/2035 0:00,30,41.99,41.99,50,50,20,10.17461072,0
1/2/2035 1:00,30,31.47,31.47,50,50,20,10.17461072,0
1/2/2035 2:00,30,42.43,42.43,50,50,20,10.17461072,0
1/2/2035 3:00,30,29.79,29.79,50,50,20,10.17461072,0
1/2/2035 4:00,30,22.48,22.48,50,50,20,10.17461072,0
1/2/2035 5:00,30,25.18,25.18,50,50,20,10.17461072,77.894
1/2/2035 6:00,30,59.03,59.03,50,50,20,10.35048389,119.82
1/2/2035 7:00,30,69.5,69.5,50,50,20,10.46101805,143.25
1/2/2035 8:00,30,77.07,77.07,50,50,20,10.60839693,117.28
1/2/2035 9:00,30,76.13,76.13,50,50,20,10.60839693,0
1/2/2035 10:00,30,80.38,80.38,50,50,20,10.60839693,0
1/2/2035 11:00,30,84.94,84.94,50,50,20,10.60839693,0
1/2/2035 12:00,30,89.56,89.56,50,50,20,10.60839693,0
1/2/2035 13:00,30,90.27,90.27,50,50,20,10.60839693,0
1/2/2035 14:00,30,90.64,90.64,50,50,20,10.46101805,0
1/2/2035 15:00,30,91.36,91.36,50,50,20,10.35048389,53.95
1/2/2035 16:00,30,94.86,94.86,50,50,20,10.23994974,0
1/2/2035 17:00,30,92.32,92.32,50,50,20,10.23994974,0
1/2/2035 18:00,30,86.35,86.35,50,50,20,10.23994974,0
1/2/2035 19:00,30,74.58,74.58,50,50,20,10.23994974,0
1/2/2035 20:00,30,68.51,68.51,50,50,20,10.23994974,0
1/2/2035 21:00,30,58.29,58.29,50,50,20,10.23994974,0
1/2/2035 22:00,30,51.4,51.4,50,50,20,10.17461072,0
1/2/2035 23:00,30,18.83,18.83,50,50,20,10.17461072,0
