name,bus0,bus1,s_nom,bus_id0,bus_id1
merged_way/41374778-1-380+2_way/41374777-380,DE127-380,way/24839976-380,5094.308,32,459
merged_way/79174485-220+1,DE129-220,way/22761692-220,1966.224,34,373
merged_way/59584539-2-220+1_way/59584548-220,way/24839976-220,DE129-220,1966.224,34,458
Planned_AC_380_23_relation/5497488-380-b_relation/5497490-380-b_way/1186186271-380,DE13-380,DE14-380,8792.411,35,49
Planned_AC_380_22_relation/5497488-380-c_relation/5497490-380-c,way/24502420-380,DE13-380,5396.206,35,441
merged_way/57786760-1-380+3,way/22761692-380,DE130-380,1698.103,36,374
Planned_HVDC_NordSued12,DE131-220,way/188276460-220,2000,37,359
way/33382745-220,way/23084554-220,DE131-220,1966.224,37,395
Planned_HVDC_NordSued11,way/23084554-380,DE131-220,2000,37,396
merged_way/109195942-1-220+2_merged_way/24841789-220+2,way/24839976-220,DE131-220,1474.668,37,458
way/159712911-220,DE137-220,DE132-220,983.112,38,43
Planned_AC_380Koepchenwerk_Kelsterbach_4_way/29287463-220,way/132814303-220,DE132-220,2983.112,38,292
Planned_AC_380Koepchenwerk_Kelsterbach_5,DE132-220,way/89043564-380,2000,38,741
merged_way/159685340-1-220+3,DE132-220,way/90148336-220,983.112,38,745
way/505137255-380,way/25992879-380,DE133-380,3396.205,39,480
merged_way/80130019-1-380+3,way/870598507-380,DE133-380,3396.205,39,724
merged_way/29291584-380+4,DE133-380,way/162176187-380,3396.205,39,803
way/128277649-380,DE134-380,way/1086825107-380,3396.205,40,250
way/39676389-380,way/143882655-380,DE134-380,3396.205,40,299
Planned_HVDC_SuedOstLink5_way/148211531-380-b,way/148211527-380,DE134-380,3698.103,40,307
Planned_HVDC_SuedOstLink6,DE134-380,way/152219167-220,2000,40,322
way/207579638-1-220,DE145-220,DE135-220,491.556,41,55
merged_way/78043300-220+2,DE135-220,way/90148336-220,983.112,41,745
merged_way/806238478-1-380+3,DE136-380,DE138-380,3396.205,42,46
merged_way/850698155-380+1,DE136-380,way/26927264-380,3396.205,42,496
merged_way/860159351-380+1,way/870598507-380,DE136-380,3396.205,42,724
way/137885048-1-220,way/89043564-220,DE137-220,491.556,43,740
way/1254852017-380,DE137-380,DE140-380,1698.103,44,50
overlap_bus_correction100_overlap_bus_correction41,DE138-220,DE138-380,3000,45,46
merged_way/201153707-2-220+2,way/22765517-220,DE138-220,491.556,45,377
way/34897791-2-220,DE138-220,way/22766160-220,983.112,45,379
Planned_HVDC_NordSued9_merged_way/201153707-1-380+2,DE138-380,way/22765517-380,3698.103,46,378
Planned_HVDC_NordSued8_way/34897791-1-380,way/22766160-380,DE138-380,5396.205,46,380
way/610525281-220,DE139-220,way/22766160-220,1966.224,47,379
merged_way/30286003-220+1,way/32148946-220,DE139-220,983.112,47,568
relation/3228400-380-c,DE139-380,way/22766160-380,1698.103,48,380
relation/3228400-380-b,way/24839976-380,DE139-380,1698.103,48,459
Planned_AC_380_24_relation/5497488-380-a_relation/5497490-380-a,DE14-380,way/955268863-380,5396.206,49,788
way/1130668496-1-380,DE140-380,DE143-380,3396.205,50,53
way/1130668503-1-380,way/89043564-380,DE140-380,3396.205,50,741
relation/1082948-380,way/24268944-380,DE141-380,1698.103,51,423
relation/1082953-380-a,way/25426571-380,DE141-380,1698.103,51,471
relation/1082953-380-b_relation/1082955-380,DE141-380,way/870598507-380,3396.206,51,724
way/1311473763-380,way/943135226-380,DE142-380,3396.205,52,768
way/25209869-1-380,way/22766160-380,DE144-380,1698.103,54,380
merged_way/31333769-1-380+8,DE144-380,way/22767509-380,3396.205,54,382
merged_way/207578308-220+3,DE145-220,DE148-220,983.112,55,58
Planned_AC_380Koepchenwerk_Kelsterbach_7,DE145-220,DE160-220,2000,55,73
Planned_AC_380Koepchenwerk_Kelsterbach_6,way/89043564-380,DE145-220,2000,55,741
way/345675089-380,DE146-380,DE152-380,3396.205,56,64
way/156673647-1-380,way/1245867884-380,DE146-380,1698.103,56,285
way/908473137-1-380,DE148-380,DE147-380,1698.103,57,59
merged_way/352376135-380+2,DE150-380,DE147-380,3396.205,57,62
merged_way/908473140-380+1_way/152403657-1-380,DE147-380,way/152403632-380,5094.308,57,326
merged_way/152403657-2-220+5,way/152403632-220,DE148-220,491.556,58,325
merged_way/352376142-380+3,DE150-380,DE148-380,3396.205,59,62
way/157332863-380,DE149-380,way/166604822-380,3396.205,60,348
way/157332865-380,DE149-380,way/36183042-380,3396.205,60,593
way/58870477-380,way/943135226-380,DE149-380,3396.205,60,768
way/23951301-220,DE15-220,way/229565743-220,983.112,61,385
merged_way/28112089-220+8,DE15-220,way/829116805-220,983.112,61,716
way/113135861-220,DE15-220,way/955268863-220,983.112,61,787
merged_way/138220867-380+2,DE152-380,DE150-380,3396.205,62,64
way/194214685-380,way/50898216-380,DE150-380,3396.205,62,657
way/222638710-220-b_way/812676716-220-a,DE151-220,way/1086825107-220,1966.224,63,249
Planned_HVDC_SuedOstLink8,DE151-220,way/1086825107-380,2000,63,250
Planned_HVDC_SuedOstLink7_way/812686808-220,way/152219167-220,DE151-220,2491.556,63,322
merged_way/345899153-1-380+1_way/345674979-1-380,DE152-380,way/1245826064-380,3396.206,64,284
way/414015967-380,way/22766160-380,DE153-380,3396.205,65,380
way/39230385-380,DE153-380,way/26777313-380,3396.205,65,494
way/36258837-380,DE153-380,way/395847307-380,3396.205,65,605
merged_way/160485212-1-380+6,DE154-380,way/395847307-380,1698.103,66,605
way/207811359-1-380,DE154-380,way/42423415-380,1698.103,66,625
way/381950155-380,way/160584794-380,DE155-380,1698.103,67,346
way/818506067-380,way/373967500-380,DE155-380,3396.205,67,594
way/169236154-380,DE162-380,DE156-380,3396.205,68,75
Planned_HVDC_NordSued3_merged_way/152403734-380+2,DE156-380,way/160584794-380,5396.205,68,346
Planned_HVDC_NordSued2,way/24685992-380,DE156-380,2000,68,445
way/147534818-380,DE156-380,way/50898216-380,3396.205,68,657
merged_way/1241945684-1-380+1,DE158-380,DE157-380,3396.205,69,70
Planned_HVDC_SuedOstLink9,way/1086825107-380,DE157-380,2000,69,250
Planned_HVDC_SuedOstLink10_way/1241983642-1-380,DE157-380,way/93341407-380,5396.205,69,756
relation/3732388-380-b,way/24757392-380,DE158-380,1698.103,70,448
relation/3732388-380-c,DE158-380,way/93341407-380,1698.103,70,756
Planned_HVDC_RheinMeinLink10,DE159-380,DE161-380,2000,71,74
Planned_HVDC_RheinMeinLink9,way/202747445-380,DE159-380,2000,71,363
merged_way/109330042-1-380+8,DE159-380,way/24042358-380,3396.205,71,415
merged_way/106620935-1-380+1,way/38661452-380,DE159-380,1698.103,71,601
merged_way/104448814-1-380+2,way/62061952-380,DE159-380,3396.205,71,687
way/49746082-220-a,DE16-220,way/170123812-220,983.112,72,352
way/49746081-220,DE16-220,way/30039908-220,983.112,72,540
Planned_AC_380Bertikow_Vierraden,way/30039908-380,DE16-220,2000,72,541
relation/1641722-220,way/23641079-220,DE160-220,983.112,73,407
Planned_AC_380Koepchenwerk_Kelsterbach_8,DE160-220,way/23641079-380,2000,73,408
relation/14595857-380-c_relation/1641702-380-c,DE161-380,DE162-380,3396.206,74,75
way/1120289993-1-380,DE161-380,way/23641079-380,5094.308,74,408
Planned_HVDC_RheinMeinLink11,DE161-380,way/24685992-380,2000,74,445
