name,v_nom,carrier,x,y
DE10-380,380,AC,9.552734342,53.56351079
DE100-220,220,AC,7.135589007,51.41706529
DE100-380,380,AC,7.135881814,51.41726327
DE102-220,220,AC,7.244493853,51.40074485
DE102-380,380,AC,7.244787025,51.40094255
DE103-380,380,AC,11.9490965,51.40012245
DE104-380,380,AC,8.9079328,51.39009809
DE105-220,220,AC,7.1890594,51.37620589
DE106-220,220,AC,6.7035127,51.37052449
DE107-220,220,AC,6.709224388,51.36152847
DE107-380,380,AC,6.709515012,51.36172751
DE108-220,220,AC,9.644376,51.35748599
DE109-220,220,AC,7.597289747,51.34823074
DE11-380,380,AC,9.524278468,53.54646034
DE110-220,220,AC,6.721174529,51.34265579
DE110-380,380,AC,6.721465088,51.34285479
DE111-380,380,AC,6.821038506,51.3414018
DE112-380,380,AC,6.7924513,51.32606169
DE113-220,220,AC,6.5227314,51.32248809
DE114-380,380,AC,6.5881942,51.28422529
DE117-380,380,AC,6.6574929,51.19155419
DE118-220,220,AC,6.8797647,51.18915739
DE119-380,380,AC,12.40807583,51.17810643
DE12-380,380,AC,9.951962864,53.48959909
DE121-380,380,AC,9.0957296,51.16389409
DE122-220,220,AC,6.9357514,51.14209109
DE124-380,380,AC,6.9109967,51.11766229
DE125-220,220,AC,6.62170787,51.05444962
DE125-380,380,AC,6.621996235,51.05464888
DE126-220,220,AC,6.96291436,51.05087051
DE127-380,380,AC,6.659123618,51.03709978
DE128-380,380,AC,6.634290411,51.03417078
DE129-220,220,AC,6.8541511,51.02386209
DE13-380,380,AC,9.3886907,53.3384205
DE130-380,380,AC,6.9591121,51.02029029
DE131-220,220,AC,6.6994739,50.97486829
DE132-220,220,AC,7.9695049,50.95411029
DE133-380,380,AC,6.213656042,50.94372876
DE134-380,380,AC,11.42968685,50.91163214
DE135-220,220,AC,8.1007167,50.87100909
DE136-380,380,AC,6.6481563,50.86716379
DE137-220,220,AC,7.941187924,50.8479644
DE137-380,380,AC,7.941480604,50.84816037
DE138-220,220,AC,6.894042365,50.8478302
DE138-380,380,AC,6.894330636,50.84802878
DE139-220,220,AC,6.926703078,50.83784972
DE139-380,380,AC,6.926991426,50.83804823
DE14-380,380,AC,9.3837797,53.3146739
DE140-380,380,AC,7.9421349,50.83695639
DE141-380,380,AC,6.323187902,50.83602329
DE142-380,380,AC,12.7425046,50.82320829
DE143-380,380,AC,7.9295009,50.81890659
DE144-380,380,AC,7.0586911,50.81015569
DE145-220,220,AC,8.0440017,50.78721689
DE146-380,380,AC,8.3209437,50.72948799
DE147-380,380,AC,7.911066905,50.7271405
DE148-220,220,AC,7.921593908,50.71402625
DE148-380,380,AC,7.921885681,50.71422227
DE149-380,380,AC,12.8259721,50.65684439
DE15-220,220,AC,8.8726099,53.1849108
DE150-380,380,AC,8.0151758,50.63921884
DE151-220,220,AC,11.47317314,50.60092148
DE152-380,380,AC,8.464794649,50.60065519
DE153-380,380,AC,7.0741578,50.59365769
DE154-380,380,AC,7.095084785,50.58369396
DE155-380,380,AC,7.500068556,50.34548015
DE156-380,380,AC,8.1238717,50.30984999
DE157-380,380,AC,11.77528079,50.20809321
DE158-380,380,AC,11.6734418,50.19603029
DE159-380,380,AC,8.58628489,50.13518577
DE16-220,220,AC,13.96643146,53.1746152
DE160-220,220,AC,8.5426736,50.09608319
DE161-380,380,AC,8.492270955,50.08394191
DE162-380,380,AC,8.437251353,50.05982333
DE163-220,220,AC,10.1967491,50.02801519
DE164-220,220,AC,6.1941964,49.94526609
DE165-380,380,AC,8.673573991,49.94240518
DE166-220,220,AC,7.818220453,49.89198335
DE167-380,380,AC,6.5120236,49.88357789
DE168-380,380,AC,8.530958454,49.85314777
DE169-220,220,AC,9.5679286,49.82068279
DE17-380,380,AC,8.5985415,53.0859141
DE170-380,380,AC,6.7934258,49.81926699
DE171-220,220,AC,7.7928907,49.81114489
DE172-220,220,AC,6.567516277,49.79945161
DE172-380,380,AC,6.567797045,49.79965103
DE173-220,220,AC,6.577212817,49.769434
DE174-220,220,AC,8.3924707,49.56774289
DE175-220,220,AC,6.608589542,49.4915678
DE176-220,220,AC,8.6894493,49.33602339
DE177-220,220,AC,6.795921422,49.33468125
DE178-380,380,AC,8.6289005,49.33340689
DE179-220,220,AC,9.0735161,49.31193539
DE18-220,220,AC,11.88107943,53.08326849
DE18-380,380,AC,11.88140417,53.0834541
