name,technology,bidding_EOM,bidding_CRM_capacity_pos,bidding_CRM_capacity_neg,bidding_CRM_energy_pos,bidding_CRM_energy_neg,bidding_redispatch,fuel_type,emission_factor,max_power,min_power,efficiency,ramp_up,ramp_down,additional_cost,hot_start_cost,warm_start_cost,cold_start_cost,min_operating_time,min_down_time,unit_operator,operating_type,node
powerplant_12,solar,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch,renewable,0,685.1621140245286,0.0,1.0,685.1621140245286,685.1621140245286,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 0
powerplant_13,solar,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch,renewable,0,466.51606941508544,0.0,1.0,466.51606941508544,466.51606941508544,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 0
powerplant_14,solar,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch,renewable,0,9627.570112004994,0.0,1.0,9627.570112004994,9627.570112004994,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 0
powerplant_15,solar,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch,renewable,0,20104.3817329178,0.0,1.0,20104.3817329178,20104.3817329178,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 0
powerplant_16,solar,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch,renewable,0,645.4866931818743,0.0,1.0,645.4866931818743,645.4866931818743,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 0
powerplant_17,solar,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch,renewable,0,0.0393896766785315,0.0,1.0,0.0393896766785315,0.0393896766785315,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 0
powerplant_21,onshore wind,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch,renewable,0,359.45730877993395,0.0,1.0,359.45730877993395,359.45730877993395,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 1
powerplant_22,onshore wind,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch,renewable,0,325.7566670511261,0.0,1.0,325.7566670511261,325.7566670511261,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 1
powerplant_23,onshore wind,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch,renewable,0,0.0633389261925539,0.0,1.0,0.0633389261925539,0.0633389261925539,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 1
powerplant_24,run-of-river hydro,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch,renewable,0,33.529999999999994,0.0,0.9,33.529999999999994,33.529999999999994,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 1
