datetime,exchange_1_export,exchange_1_import,exchange_2_export,exchange_2_import,exchange_3_export,exchange_3_import,exchange_4_export,exchange_4_import,exchange_5_export,exchange_5_import,exchange_6_export,exchange_6_import,exchange_7_export,exchange_7_import,exchange_8_export,exchange_8_import,exchange_9_export,exchange_9_import,exchange_10_export,exchange_10_import,exchange_11_export,exchange_11_import,exchange_12_export,exchange_12_import,exchange_13_export,exchange_13_import,exchange_14_export,exchange_14_import,exchange_15_export,exchange_15_import,exchange_16_export,exchange_16_import,exchange_17_export,exchange_17_import,exchange_18_export,exchange_18_import,exchange_19_export,exchange_19_import,exchange_20_export,exchange_20_import,exchange_21_export,exchange_21_import,exchange_22_export,exchange_22_import,exchange_23_export,exchange_23_import,exchange_24_export,exchange_24_import,exchange_25_export,exchange_25_import,exchange_26_export,exchange_26_import,exchange_27_export,exchange_27_import,exchange_28_export,exchange_28_import,exchange_29_export,exchange_29_import,exchange_30_export,exchange_30_import,exchange_31_export,exchange_31_import
2039-12-31 00:00:00,0.0,-37.21361466301482,0.0,-510.0668708691797,1190.1933795277998,0.0,0.0,-9214.514162347154,47.6127847082096,0.0,1453.5473689742562,0.0,1556.91654971369,0.0,0.0,-516.8350432188469,123.3030549454162,0.0,0.0,-3237.506051391951,255.24178785133105,0.0,0.0,-4412.186238819906,3256.1305238267373,0.0,0.0,-6530.630727425626,0.0,-34.62246400957262,618.5831052343405,0.0,301.9440985023949,0.0,2999.9993950111434,0.0,0.0,-0.0005158842095186,0.0,-0.0015527652383594,2999.997943711,0.0,0.0,-956.9438359717744,0.0022098909977932,0.0,1999.98675428337,0.0,0.0,-0.0045680814281526,0.0,-3894.366530444376,0.0024809732965699,0.0,0.0026817086702049,0.0,0.0,-956.4968052373496,0.0,-0.0039478443334343,999.9323845255566,0.0
2039-12-31 01:00:00,0.0,-37.21361466301482,0.0,-510.0668708691797,1190.1933795277998,0.0,0.0,-9214.514162347154,47.6127847082096,0.0,1453.5473689742562,0.0,1556.91654971369,0.0,0.0,-516.8350432188469,123.3030549454162,0.0,0.0,-3237.506051391951,255.24178785133105,0.0,0.0,-4412.186238819906,3256.1305238267373,0.0,0.0,-6530.630727425626,0.0,-34.62246400957262,618.5831052343405,0.0,301.9440985023949,0.0,2999.9993950111434,0.0,0.0,-0.0005158842095186,0.0,-0.0015527652383594,2999.997943711,0.0,0.0,-956.9438359717744,0.0022098909977932,0.0,1999.98675428337,0.0,0.0,-0.0045680814281526,0.0,-3894.366530444376,0.0024809732965699,0.0,0.0026817086702049,0.0,0.0,-956.4968052373496,0.0,-0.0039478443334343,999.9323845255566,0.0
2039-12-31 02:00:00,0.0,-37.21361466301482,0.0,-510.0668708691797,1190.1933795277998,0.0,0.0,-9214.514162347154,47.6127847082096,0.0,1453.5473689742562,0.0,1556.91654971369,0.0,0.0,-516.8350432188469,123.3030549454162,0.0,0.0,-3237.506051391951,255.24178785133105,0.0,0.0,-4412.186238819906,3256.1305238267373,0.0,0.0,-6530.630727425626,0.0,-34.62246400957262,618.5831052343405,0.0,301.9440985023949,0.0,2999.9993950111434,0.0,0.0,-0.0005158842095186,0.0,-0.0015527652383594,2999.997943711,0.0,0.0,-956.9438359717744,0.0022098909977932,0.0,1999.98675428337,0.0,0.0,-0.0045680814281526,0.0,-3894.366530444376,0.0024809732965699,0.0,0.0026817086702049,0.0,0.0,-956.4968052373496,0.0,-0.0039478443334343,999.9323845255566,0.0
2039-12-31 03:00:00,0.0,-250.017985278836,0.0,-1332.3577463886477,0.0,-385.8654456322604,0.0,-9464.038551675963,0.0,-128.73956195040984,723.644344356275,0.0,1653.1938942367456,0.0,0.0,-515.2774043816606,0.0,-218.40912271877448,0.0,-4405.991780302407,81.00311882619577,0.0,0.0,-4412.184990011929,2736.8655152703477,0.0,0.0,-3455.052515523752,0.0,-620.2438485990707,608.9912281655156,0.0,313.74591724231783,0.0,2999.999436882016,0.0,0.0,-0.0004852708319205,0.0,-0.0010475482109296,2999.998739655214,0.0,0.0,-0.0040820882881711,999.99249824741,0.0,1999.998016217533,0.0,0.0,-0.0015417242875055,0.0,-1895.7257585432128,0.0158680459884548,0.0,999.9948376455914,0.0,0.0,-0.0032767129283686,0.0,-0.0039085171869439,999.9320497324596,0.0
2039-12-31 04:00:00,0.0,-250.017985278836,0.0,-1332.3577463886477,0.0,-385.8654456322604,0.0,-9464.038551675963,0.0,-128.73956195040984,723.644344356275,0.0,1653.1938942367456,0.0,0.0,-515.2774043816606,0.0,-218.40912271877448,0.0,-4405.991780302407,81.00311882619577,0.0,0.0,-4412.184990011929,2736.8655152703477,0.0,0.0,-3455.052515523752,0.0,-620.2438485990707,608.9912281655156,0.0,313.74591724231783,0.0,2999.999436882016,0.0,0.0,-0.0004852708319205,0.0,-0.0010475482109296,2999.998739655214,0.0,0.0,-0.0040820882881711,999.99249824741,0.0,1999.998016217533,0.0,0.0,-0.0015417242875055,0.0,-1895.7257585432128,0.0158680459884548,0.0,999.9948376455914,0.0,0.0,-0.0032767129283686,0.0,-0.0039085171869439,999.9320497324596,0.0
2039-12-31 05:00:00,0.0,-250.017985278836,0.0,-1332.3577463886477,0.0,-385.8654456322604,0.0,-9464.038551675963,0.0,-128.73956195040984,723.644344356275,0.0,1653.1938942367456,0.0,0.0,-515.2774043816606,0.0,-218.40912271877448,0.0,-4405.991780302407,81.00311882619577,0.0,0.0,-4412.184990011929,2736.8655152703477,0.0,0.0,-3455.052515523752,0.0,-620.2438485990707,608.9912281655156,0.0,313.74591724231783,0.0,2999.999436882016,0.0,0.0,-0.0004852708319205,0.0,-0.0010475482109296,2999.998739655214,0.0,0.0,-0.0040820882881711,999.99249824741,0.0,1999.998016217533,0.0,0.0,-0.0015417242875055,0.0,-1895.7257585432128,0.0158680459884548,0.0,999.9948376455914,0.0,0.0,-0.0032767129283686,0.0,-0.0039085171869439,999.9320497324596,0.0
2039-12-31 06:00:00,0.0,-873.6109406170056,0.0,-559.5208318142784,1372.5204561515498,0.0,0.0,-8025.685884865474,18.10825104868204,0.0,1188.5911459981182,0.0,1537.3273813399226,0.0,230.77016927195683,0.0,111.00428022434664,0.0,0.0,-2554.266498977711,164.05410815849717,0.0,0.0,-3869.7301502781934,3527.66034654496,0.0,0.0,-3145.360328609216,0.0,-97.19825640832764,581.6416809184202,0.0,335.6491577415505,0.0,2999.999488881408,0.0,0.0,-0.0004475445487535,0.0,-0.0004568735962853,2999.999488656374,0.0,0.0,-0.0019671346378008,999.9974853535329,0.0,1999.9986960199917,0.0,0.0,-0.0010965285453459,0.0,-0.0214313634945158,518.7174868248582,0.0,999.997842863107,0.0,0.0,-0.0017405798517607,0.0,-0.0038148535924354,999.934048479233,0.0
2039-12-31 07:00:00,0.0,-873.6109406170056,0.0,-559.5208318142784,1372.5204561515498,0.0,0.0,-8025.685884865474,18.10825104868204,0.0,1188.5911459981182,0.0,1537.3273813399226,0.0,230.77016927195683,0.0,111.00428022434664,0.0,0.0,-2554.266498977711,164.05410815849717,0.0,0.0,-3869.7301502781934,3527.66034654496,0.0,0.0,-3145.360328609216,0.0,-97.19825640832764,581.6416809184202,0.0,335.6491577415505,0.0,2999.999488881408,0.0,0.0,-0.0004475445487535,0.0,-0.0004568735962853,2999.999488656374,0.0,0.0,-0.0019671346378008,999.9974853535329,0.0,1999.9986960199917,0.0,0.0,-0.0010965285453459,0.0,-0.0214313634945158,518.7174868248582,0.0,999.997842863107,0.0,0.0,-0.0017405798517607,0.0,-0.0038148535924354,999.934048479233,0.0
2039-12-31 08:00:00,0.0,-873.6109406170056,0.0,-559.5208318142784,1372.5204561515498,0.0,0.0,-8025.685884865474,18.10825104868204,0.0,1188.5911459981182,0.0,1537.3273813399226,0.0,230.77016927195683,0.0,111.00428022434664,0.0,0.0,-2554.266498977711,164.05410815849717,0.0,0.0,-3869.7301502781934,3527.66034654496,0.0,0.0,-3145.360328609216,0.0,-97.19825640832764,581.6416809184202,0.0,335.6491577415505,0.0,2999.999488881408,0.0,0.0,-0.0004475445487535,0.0,-0.0004568735962853,2999.999488656374,0.0,0.0,-0.0019671346378008,999.9974853535329,0.0,1999.9986960199917,0.0,0.0,-0.0010965285453459,0.0,-0.0214313634945158,518.7174868248582,0.0,999.997842863107,0.0,0.0,-0.0017405798517607,0.0,-0.0038148535924354,999.934048479233,0.0
2039-12-31 09:00:00,0.0,-4428.479615801002,0.0,-1281.139768411443,0.0,-48.73974759841868,0.0,-6971.878625743277,0.0,-306.04756323277024,0.0,-1164.7516802402197,1153.3278142012252,0.0,532.1277504803174,0.0,0.0,-356.00588743985173,0.0,-4360.803983660688,0.0,-259.23791765719426,0.0,-3502.6989351471684,4104.186438210723,0.0,0.0,-5375.887634003809,0.0,-832.1505884495807,430.4627942316138,0.0,236.7372011783296,0.0,2999.999414866388,0.0,0.0,-0.0005246837492976,0.0,-0.0003693649987593,2999.999594972834,0.0,0.0,-0.0105391070493379,999.9836884204342,0.0,1999.999101179374,0.0,0.0,-0.0007947555879098,0.0,-0.0588506625840851,1831.3918335227904,0.0,0.0261026587705969,0.0,0.0,-0.4565122147189622,0.0,-0.0011507646002067,999.9985493479156,0.0
