,solar_00,solar_01_0,solar_01_1,solar_01_2,solar_02,solar_03_0,solar_03_1,solar_03_2,solar_04_0,solar_04_1,solar_04_2,solar_05,solar_06_0,solar_06_1,solar_06_2,solar_06_3,solar_07_0,solar_07_1,solar_08,solar_09_0,solar_09_1,solar_09_2,wind_offshore_00,wind_offshore_06,wind_offshore_07,wind_onshore_00_0,wind_onshore_00_1,wind_onshore_00_2,wind_onshore_01,wind_onshore_02,wind_onshore_03_0,wind_onshore_03_1,wind_onshore_04,wind_onshore_05,wind_onshore_06_0,wind_onshore_06_1,wind_onshore_07_0,wind_onshore_07_1,wind_onshore_07_2,wind_onshore_07_3,wind_onshore_08,wind_onshore_09
0,57.34204452077048,57.34204452077048,57.34204452077048,57.34204452077048,57.34204452077048,57.34204452077048,57.34204452077048,57.34204452077048,57.34204452077048,57.34204452077048,57.34204452077048,57.34204452077048,57.34204452077048,57.34204452077048,57.34204452077048,57.34204452077048,57.34204452077048,57.34204452077048,57.34204452077048,57.34204452077048,57.34204452077048,57.34204452077048,57.34204452077048,57.34204452077048,90.13663309248294,90.13663309248294,90.13663309248294,90.13663309248294,57.34204452077048,57.34204452077048,90.13663309248294,90.13663309248294,57.34204452077048,57.34204452077048,57.34204452077048,57.34204452077048,90.2392579609621,90.2392579609621,90.2392579609621,90.2392579609621,57.34204452077048,57.34204452077048
1,90.2392579609621,90.2392579609621,90.2392579609621,90.2392579609621,90.2392579609621,90.2392579609621,90.2392579609621,90.2392579609621,90.2392579609621,90.2392579609621,90.2392579609621,90.2392579609621,90.2392579609621,90.2392579609621,90.2392579609621,90.2392579609621,90.2392579609621,90.2392579609621,90.2392579609621,90.2392579609621,90.2392579609621,90.2392579609621,91.61939449831587,91.61939449831587,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,90.2392579609621,90.2392579609621,93.60950107473732,93.60950107473732,90.2392579609621,91.61939449831587,93.60950107473732,93.60950107473732,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,90.2392579609621,90.2392579609621
2,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,96.79491938402523,96.79491938402523,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,96.79491938402523,96.79491938402523,93.60950107473732,93.60950107473732,96.79491938402523,96.79491938402523,96.79491938402523,93.60950107473732,96.79491938402523,96.79491938402525,93.60950107473732,93.60950107473732
3,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,93.60950107473732,96.79491938402523,96.79491938402523,96.61320942155974,96.79491938402523,96.79491938402523,96.79491938402523,93.60950107473732,96.79491938402523,96.13414310394894,96.13414310394894,93.60950107473732,96.79491938402523,96.13414310394894,96.13414310394894,96.79491938402523,93.60950107473732,96.13414310394896,96.79491938402523,93.60950107473732,93.60950107473732
4,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,93.60950107473732,91.61939811717146,96.79491938402523,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,96.79491938402523,93.60950107473732,91.61939449831587,93.60950107473732,96.79491938402523,91.61939449831587,91.61939449831587
5,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,93.60950107473732,91.61939449831587,96.79491938402523,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,91.61939449831587,93.60950107473732,91.61939449831587,96.79491938402523,91.61939449831587,96.79491938402523,96.79491938402523,91.61939449831587,93.60950107473732
6,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523,96.79491938402523
7,23.83105459064972,23.83105459064972,57.342044483960606,23.83105459064972,23.83105459064972,57.34204452077048,57.34204452077048,23.83105459064972,23.83105459064972,57.34204452077048,57.34204452077056,23.83105459064972,23.83105459064972,57.34204452077048,23.83105459064972,23.83105459064972,23.83105459064972,57.34204452077048,23.83105459064972,23.83105459064972,57.34204452077048,57.34204452077048,57.341966782097124,57.34204452077048,23.83105459064972,23.83105459064972,23.83105459064972,57.34204452089859,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,57.342044520770486,61.44535424510053,23.83105459064972,23.831054590649728,23.83105459064972,23.83105459064972
8,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972
9,10.276681075893984,10.276681075893984,10.276681075893984,10.276681075893984,10.276681075893984,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,10.276681075893984,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,10.276681075893984,23.83105459064972,23.83105459064972,23.83105459064972,10.276681075893984,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,10.276681075893991,10.276681075893991,10.276681075893984,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,23.83105459064972,10.276681075893984
