datetime,price_EOM,A360_heat_demand
6/1/2024 0:00,130.92,3
6/1/2024 0:15,130.92,3
6/1/2024 0:30,130.92,3
6/1/2024 0:45,130.92,3
6/1/2024 1:00,130.92,3
6/1/2024 1:15,130.92,3
6/1/2024 1:30,130.92,3
6/1/2024 1:45,130.92,3
6/1/2024 2:00,130.92,3
6/1/2024 2:15,130.92,3
6/1/2024 2:30,130.92,3
6/1/2024 2:45,130.92,3
6/1/2024 3:00,130.92,3
6/1/2024 3:15,130.92,3
6/1/2024 3:30,130.92,3
6/1/2024 3:45,130.92,3
6/1/2024 4:00,130.92,3
6/1/2024 4:15,130.92,3
6/1/2024 4:30,130.92,3
6/1/2024 4:45,130.92,3
6/1/2024 5:00,130.92,3
6/1/2024 5:15,130.92,3
6/1/2024 5:30,130.92,3
6/1/2024 5:45,130.92,3
6/1/2024 6:00,130.92,3
6/1/2024 6:15,130.8977436,3
6/1/2024 6:30,130.8754872,3
6/1/2024 6:45,130.8532308,3
6/1/2024 7:00,130.8309744,3
6/1/2024 7:15,130.7841705,3
6/1/2024 7:30,130.7373666,3
6/1/2024 7:45,130.6905627,3
6/1/2024 8:00,130.6437588,3
6/1/2024 8:15,129.7116084,3
6/1/2024 8:30,128.779458,3
6/1/2024 8:45,127.8473076,3
6/1/2024 9:00,126.9151572,3
6/1/2024 9:15,126.3512193,3
6/1/2024 9:30,125.7872814,3
6/1/2024 9:45,125.2233435,3
6/1/2024 10:00,124.6594056,3
6/1/2024 10:15,123.9815673,3
6/1/2024 10:30,123.303729,3
6/1/2024 10:45,122.6258907,3
6/1/2024 11:00,121.9480524,3
6/1/2024 11:15,120.619869,3
6/1/2024 11:30,119.2916856,3
6/1/2024 11:45,117.9635022,3
6/1/2024 12:00,116.6353188,3
6/1/2024 12:15,117.5262294,3
6/1/2024 12:30,118.41714,3
6/1/2024 12:45,119.3080506,3
6/1/2024 13:00,120.1989612,3
6/1/2024 13:15,119.310669,3
6/1/2024 13:30,118.4223768,3
6/1/2024 13:45,117.5340846,3
6/1/2024 14:00,116.6457924,3
6/1/2024 14:15,117.719991,3
6/1/2024 14:30,118.7941896,3
6/1/2024 14:45,119.8683882,3
6/1/2024 15:00,120.9425868,3
6/1/2024 15:15,120.4974588,3
6/1/2024 15:30,120.0523308,3
6/1/2024 15:45,119.6072028,3
6/1/2024 16:00,119.1620748,3
6/1/2024 16:15,120.1400472,3
6/1/2024 16:30,121.1180196,3
6/1/2024 16:45,122.095992,3
6/1/2024 17:00,123.0739644,3
6/1/2024 17:15,123.3901362,3
6/1/2024 17:30,123.706308,3
6/1/2024 17:45,124.0224798,3
6/1/2024 18:00,124.3386516,3
6/1/2024 18:15,125.2298895,3
6/1/2024 18:30,126.1211274,3
6/1/2024 18:45,127.0123653,3
6/1/2024 19:00,127.9036032,3
6/1/2024 19:15,128.272143,3
6/1/2024 19:30,128.6406828,3
6/1/2024 19:45,129.0092226,3
6/1/2024 20:00,129.3777624,3
6/1/2024 20:15,129.7633218,3
6/1/2024 20:30,130.1488812,3
6/1/2024 20:45,130.5344406,3
6/1/2024 21:00,130.92,3
6/1/2024 21:15,130.92,3
6/1/2024 21:30,130.92,3
6/1/2024 21:45,130.92,3
6/1/2024 22:00,130.92,3
6/1/2024 22:15,130.92,3
6/1/2024 22:30,130.92,3
6/1/2024 22:45,130.92,3
6/1/2024 23:00,130.92,3
6/1/2024 23:15,130.92,3
