datetime,lignite,hard coal,natural gas,oil,biomass,renewable,waste,co2,hydrogen,naphtha for industry,solid biomass for industry,natural gas for industry,hard coal for industry
1/1/2040 0:00,3.259296784,6.3127279460417,28.06174250500328,188.112651,107.5569925,0.0,0.0,545.3736436828175,121.25228108135026,95.0842548062421,73.28401581461445,136.0563443,189.6227082
1/1/2040 1:00,3.259296784,6.3127279460417,28.06174250500328,188.112651,107.5569925,0.0,0.0,545.3736436828175,121.25228108135026,95.0842548062421,73.28401581461445,136.0563443,189.6227082
1/1/2040 2:00,3.259296784,6.3127279460417,28.06174250500328,188.112651,107.5569925,0.0,0.0,545.3736436828175,121.25228108135026,95.0842548062421,73.28401581461445,136.0563443,189.6227082
1/1/2040 3:00,3.259358678,6.312727946067355,28.06174251891015,188.112651,107.5569951,0.0,0.0,545.3736436828175,121.3905407333651,93.29673927303088,73.13255008897755,136.0563444,189.6227082
1/1/2040 4:00,3.259358678,6.312727946067355,28.06174251891015,188.112651,107.5569951,0.0,0.0,545.3736436828175,121.3905407333651,93.29673927303088,73.13255008897755,136.0563444,189.6227082
1/1/2040 5:00,3.259358678,6.312727946067355,28.06174251891015,188.112651,107.5569951,0.0,0.0,545.3736436828175,121.3905407333651,93.29673927303088,73.13255008897755,136.0563444,189.6227082
1/1/2040 6:00,3.259420862,6.312727945944514,28.061742519877587,188.112651,107.5569961,0.0,0.0,545.3736436828175,121.43391976439923,93.97093710488288,73.1093448172551,136.0563444,189.6227082
1/1/2040 7:00,3.259420862,6.312727945944514,28.061742519877587,188.112651,107.5569961,0.0,0.0,545.3736436828175,121.43391976439923,93.97093710488288,73.1093448172551,136.0563444,189.6227082
1/1/2040 8:00,3.259420862,6.312727945944514,28.061742519877587,188.112651,107.5569961,0.0,0.0,545.3736436828175,121.43391976439923,93.97093710488288,73.1093448172551,136.0563444,189.6227082
1/1/2040 9:00,3.25948334,6.31272794578873,28.061742514419123,188.112651,107.5569967,0.0,0.0,545.3736436828175,121.21214277401256,96.50497063223504,73.12522394412093,136.0563444,189.6227082
1/1/2040 10:00,3.25948334,6.31272794578873,28.061742514419123,188.112651,107.5569967,0.0,0.0,545.3736436828175,121.21214277401256,96.50497063223504,73.12522394412093,136.0563444,189.6227082
1/1/2040 11:00,3.25948334,6.31272794578873,28.061742514419123,188.112651,107.5569967,0.0,0.0,545.3736436828175,121.21214277401256,96.50497063223504,73.12522394412093,136.0563444,189.6227082
1/1/2040 12:00,3.259546117,6.312727945752254,28.061742513167875,188.112651,107.5569972,0.0,0.0,545.3736436828175,121.19220189743608,96.6784638714376,73.1266746157155,136.0563444,189.6227082
1/1/2040 13:00,3.259546117,6.312727945752254,28.061742513167875,188.112651,107.5569972,0.0,0.0,545.3736436828175,121.19220189743608,96.6784638714376,73.1266746157155,136.0563444,189.6227082
