name,technology,bidding_energy,bidding_capacity_pos,bidding_capacity_neg,max_power_charge,max_power_discharge,efficiency_charge,efficiency_discharge,min_volume,max_volume,variable_cost_charge,variable_cost_discharge,natural_inflow,unit_operator
storage_unit,PSPP,flexable_eom_storage,-,-,600.4,555,0.87,0.92,1,4324,0.35,0.35,0,storage_operator
battery_unit,li-ion_battery,flexable_eom_storage,-,-,4859,4373,0.95,0.95,1,8746,26.3,26.3,0,battery_operator
