demand_north,demand_south
6496.0,6496.0
6618.4,6618.4
6674.0,6674.0
6697.6,6697.6
6739.2,6739.2
6774.8,6774.8
6830.8,6830.8
6873.6,6873.6
6861.2,6861.2
6872.0,6872.0
6888.4,6888.4
6919.6,6919.6
6946.8,6946.8
6921.2,6921.2
6955.2,6955.2
6989.2,6989.2
7014.0,7014.0
7047.6,7047.6
7026.8,7026.8
7032.4,7032.4
7000.4,7000.4
6982.4,6982.4
6925.2,6925.2
6892.0,6892.0
6822.4,6822.4
6781.6,6781.6
6736.8,6736.8
6703.6,6703.6
6676.4,6676.4
6680.8,6680.8
6655.6,6655.6
6645.2,6645.2
6641.6,6641.6
6721.6,6721.6
6745.6,6745.6
6803.6,6803.6
6863.2,6863.2
6959.2,6959.2
6987.2,6987.2
7010.4,7010.4
7013.6,7013.6
6978.8,6978.8
6945.6,6945.6
6916.8,6916.8
6876.8,6876.8
6842.4,6842.4
6746.4,6746.4
6709.6,6709.6
6628.8,6628.8
6465.2,6465.2
6364.4,6364.4
6312.8,6312.8
6194.0,6194.0
6105.2,6105.2
6055.2,6055.2
6026.0,6026.0
5947.6,5947.6
5946.0,5946.0
5906.0,5906.0
5815.2,5815.2
5727.6,5727.6
5580.8,5580.8
5498.4,5498.4
5404.4,5404.4
5314.0,5314.0
5243.6,5243.6
5191.6,5191.6
5154.0,5154.0
5073.2,5073.2
5014.8,5014.8
4930.8,4930.8
4914.8,4914.8
4865.6,4865.6
4839.2,4839.2
4788.8,4788.8
4804.4,4804.4
4779.6,4779.6
4770.8,4770.8
4745.2,4745.2
4750.4,4750.4
4755.6,4755.6
4771.2,4771.2
4760.0,4760.0
4762.0,4762.0
4760.4,4760.4
4774.0,4774.0
4771.2,4771.2
4768.4,4768.4
4767.2,4767.2
4776.4,4776.4
4806.0,4806.0
4854.4,4854.4
4895.2,4895.2
4985.2,4985.2
5051.2,5051.2
5091.2,5091.2
5176.8,5176.8
5324.0,5324.0
5424.8,5424.8
5446.4,5446.4
5527.2,5527.2
5657.6,5657.6
5710.8,5710.8
5808.0,5808.0
5860.4,5860.4
5915.2,5915.2
5954.4,5954.4
5983.2,5983.2
6032.0,6032.0
6072.8,6072.8
6080.4,6080.4
6118.8,6118.8
6096.4,6096.4
6114.8,6114.8
6090.4,6090.4
6076.4,6076.4
6035.2,6035.2
6023.6,6023.6
5963.6,5963.6
5924.0,5924.0
5896.0,5896.0
5895.6,5895.6
5846.4,5846.4
5840.4,5840.4
5806.8,5806.8
5827.6,5827.6
5799.2,5799.2
5791.2,5791.2
5796.8,5796.8
5824.8,5824.8
5858.4,5858.4
5916.8,5916.8
6021.6,6021.6
6148.4,6148.4
6182.0,6182.0
6200.4,6200.4
6224.8,6224.8
6245.2,6245.2
6178.4,6178.4
6194.8,6194.8
6156.4,6156.4
6110.8,6110.8
6041.6,6041.6
5980.0,5980.0
5907.6,5907.6
5760.4,5760.4
5656.0,5656.0
5578.8,5578.8
5519.6,5519.6
5457.6,5457.6
5411.6,5411.6
5374.4,5374.4
5330.8,5330.8
5376.8,5376.8
5325.6,5325.6
5252.0,5252.0
5204.4,5204.4
5094.4,5094.4
5005.6,5005.6
4962.4,4962.4
4905.6,4905.6
4782.0,4782.0
4674.8,4674.8
4619.2,4619.2
4565.2,4565.2
4509.2,4509.2
4457.2,4457.2
4440.4,4440.4
4411.6,4411.6
4350.4,4350.4
4331.2,4331.2
4308.0,4308.0
4294.4,4294.4
4308.0,4308.0
4319.6,4319.6
4302.8,4302.8
4287.2,4287.2
4295.2,4295.2
4314.0,4314.0
4309.6,4309.6
4315.6,4315.6
4305.6,4305.6
4266.4,4266.4
4253.6,4253.6
4237.2,4237.2
4210.8,4210.8
4222.8,4222.8
4224.4,4224.4
4244.8,4244.8
4287.2,4287.2
4300.8,4300.8
4338.0,4338.0
4414.4,4414.4
4498.4,4498.4
4550.4,4550.4
4619.2,4619.2
4710.8,4710.8
4822.0,4822.0
4911.6,4911.6
4994.4,4994.4
5055.6,5055.6
5146.4,5146.4
5210.0,5210.0
5278.0,5278.0
5342.4,5342.4
5426.0,5426.0
5482.0,5482.0
5534.0,5534.0
5558.0,5558.0
5582.8,5582.8
5553.6,5553.6
5537.6,5537.6
5511.2,5511.2
5458.4,5458.4
5410.0,5410.0
5401.2,5401.2
5364.8,5364.8
5384.0,5384.0
5361.6,5361.6
5339.6,5339.6
5304.8,5304.8
5262.0,5262.0
5274.8,5274.8
5272.0,5272.0
5274.8,5274.8
5320.0,5320.0
5381.2,5381.2
5479.2,5479.2
5602.8,5602.8
5716.8,5716.8
5793.2,5793.2
5830.4,5830.4
5844.4,5844.4
5930.0,5930.0
5920.8,5920.8
5877.6,5877.6
5819.6,5819.6
5817.6,5817.6
5739.2,5739.2
5714.4,5714.4
5645.6,5645.6
5601.6,5601.6
5534.8,5534.8
5445.6,5445.6
5399.2,5399.2
5385.6,5385.6
5367.2,5367.2
5310.4,5310.4
5296.8,5296.8
5303.2,5303.2
5338.0,5338.0
5266.4,5266.4
5182.0,5182.0
5113.2,5113.2
5049.2,5049.2
4965.6,4965.6
4887.6,4887.6
4795.2,4795.2
4726.0,4726.0
4680.8,4680.8
4625.2,4625.2
4581.2,4581.2
4524.8,4524.8
4525.2,4525.2
4494.0,4494.0
4486.8,4486.8
4466.0,4466.0
4484.0,4484.0
4496.8,4496.8
4527.2,4527.2
4535.6,4535.6
4560.0,4560.0
4581.2,4581.2
4645.2,4645.2
4697.2,4697.2
4760.0,4760.0
4840.0,4840.0
4988.0,4988.0
5084.4,5084.4
5211.2,5211.2
5396.8,5396.8
5727.6,5727.6
5963.2,5963.2
6144.8,6144.8
6290.0,6290.0
6518.8,6518.8
6604.4,6604.4
6728.4,6728.4
6800.0,6800.0
6904.0,6904.0
6910.0,6910.0
6940.8,6940.8
6958.4,6958.4
6942.4,6942.4
6938.8,6938.8
6954.8,6954.8
6989.6,6989.6
7035.6,7035.6
7075.6,7075.6
7110.4,7110.4
7119.2,7119.2
7148.4,7148.4
7180.4,7180.4
7191.2,7191.2
7194.4,7194.4
7172.4,7172.4
7168.4,7168.4
7172.4,7172.4
7172.8,7172.8
7193.2,7193.2
7195.2,7195.2
7181.2,7181.2
7131.2,7131.2
7130.8,7130.8
7140.8,7140.8
7151.2,7151.2
7144.8,7144.8
7182.0,7182.0
7144.4,7144.4
7120.0,7120.0
7130.4,7130.4
7162.0,7162.0
7224.0,7224.0
7269.6,7269.6
7350.4,7350.4
7441.2,7441.2
7467.6,7467.6
7476.8,7476.8
7486.4,7486.4
7444.0,7444.0
7391.6,7391.6
7363.6,7363.6
7332.8,7332.8
7286.0,7286.0
7204.4,7204.4
7154.8,7154.8
7120.0,7120.0
6997.2,6997.2
6892.8,6892.8
6816.4,6816.4
6724.8,6724.8
6672.8,6672.8
6598.8,6598.8
6523.6,6523.6
6416.4,6416.4
6387.2,6387.2
6292.8,6292.8
6184.0,6184.0
6054.0,6054.0
5943.2,5943.2
5876.8,5876.8
5789.6,5789.6
5735.2,5735.2
5542.4,5542.4
5478.4,5478.4
5418.0,5418.0
5372.0,5372.0
5334.4,5334.4
5301.6,5301.6
5261.2,5261.2
5204.8,5204.8
5189.6,5189.6
5188.4,5188.4
5188.0,5188.0
5190.0,5190.0
5219.2,5219.2
5232.4,5232.4
5258.0,5258.0
5281.2,5281.2
5323.6,5323.6
5371.6,5371.6
5445.6,5445.6
5498.0,5498.0
5614.8,5614.8
5674.4,5674.4
5791.6,5791.6
5914.4,5914.4
6207.2,6207.2
6389.2,6389.2
6564.0,6564.0
6730.0,6730.0
6944.4,6944.4
7070.8,7070.8
7158.8,7158.8
7231.6,7231.6
7325.6,7325.6
7360.0,7360.0
7356.8,7356.8
7336.4,7336.4
7324.0,7324.0
7354.0,7354.0
7364.4,7364.4
7379.6,7379.6
7420.8,7420.8
7400.0,7400.0
7424.0,7424.0
7430.8,7430.8
7468.0,7468.0
7480.4,7480.4
7496.4,7496.4
7472.0,7472.0
7476.8,7476.8
7456.0,7456.0
7448.4,7448.4
7440.4,7440.4
7460.8,7460.8
7454.8,7454.8
7425.2,7425.2
7400.8,7400.8
7372.8,7372.8
7368.8,7368.8
7358.8,7358.8
7326.8,7326.8
7335.6,7335.6
7321.2,7321.2
7302.0,7302.0
7305.6,7305.6
7328.4,7328.4
7346.8,7346.8
7413.6,7413.6
7474.4,7474.4
7546.8,7546.8
7574.4,7574.4
7599.6,7599.6
7600.4,7600.4
7545.6,7545.6
7550.4,7550.4
7526.8,7526.8
7484.0,7484.0
7438.4,7438.4
7365.6,7365.6
7328.8,7328.8
7263.2,7263.2
7133.6,7133.6
