datetime,DE_NL_export,DE_NL_import,DE_CH_export,DE_CH_import,DE_DK_export,DE_DK_import,DE_CZ_export,DE_CZ_import,DE_LU_export,DE_LU_import,DE_SE_export,DE_SE_import,DE_AT_export,DE_AT_import,DE_FR_export,DE_FR_import,DE_PL_export,DE_PL_import
1/1/2021 0:00,1354,0,800,0,196,-1156,839,-1276,405,0,0,0,4878,0,3860,0,0,-224
1/1/2021 0:15,1354,0,800,0,196,-1156,839,-1276,405,0,0,0,4878,0,3860,0,0,-224
1/1/2021 0:30,1354,0,800,0,196,-1156,839,-1276,405,0,0,0,4878,0,3860,0,0,-224
1/1/2021 0:45,1354,0,800,0,196,-1156,839,-1276,405,0,0,0,4878,0,3860,0,0,-224
1/1/2021 1:00,1158,0,800,0,9,-827,957,-714,382,0,0,0,5013,0,3244,0,0,0
1/1/2021 1:15,1158,0,800,0,9,-827,957,-714,382,0,0,0,5013,0,3244,0,0,0
1/1/2021 1:30,1158,0,800,0,9,-827,957,-714,382,0,0,0,5013,0,3244,0,0,0
1/1/2021 1:45,1158,0,800,0,9,-827,957,-714,382,0,0,0,5013,0,3244,0,0,0
1/1/2021 2:00,1176,0,800,0,600,-417,910,-200,360,0,76,0,4264,0,3642,0,0,0
1/1/2021 2:15,1176,0,800,0,600,-417,910,-200,360,0,76,0,4264,0,3642,0,0,0
1/1/2021 2:30,1176,0,800,0,600,-417,910,-200,360,0,76,0,4264,0,3642,0,0,0
1/1/2021 2:45,1176,0,800,0,600,-417,910,-200,360,0,76,0,4264,0,3642,0,0,0
1/1/2021 3:00,1428,0,800,0,673,-367,1211,-111,350,0,67,0,4270,0,3083,0,0,0
1/1/2021 3:15,1428,0,800,0,673,-367,1211,-111,350,0,67,0,4270,0,3083,0,0,0
1/1/2021 3:30,1428,0,800,0,673,-367,1211,-111,350,0,67,0,4270,0,3083,0,0,0
1/1/2021 3:45,1428,0,800,0,673,-367,1211,-111,350,0,67,0,4270,0,3083,0,0,0
1/1/2021 4:00,1492,0,800,0,689,-277,1137,0,344,0,67,0,4961,0,3130,0,0,0
1/1/2021 4:15,1492,0,800,0,689,-277,1137,0,344,0,67,0,4961,0,3130,0,0,0
1/1/2021 4:30,1492,0,800,0,689,-277,1137,0,344,0,67,0,4961,0,3130,0,0,0
1/1/2021 4:45,1492,0,800,0,689,-277,1137,0,344,0,67,0,4961,0,3130,0,0,0
