datetime,price_EOM,price_EOM_flex,lime_co2_factor,lime_price,co2_price,grinder_availability_profile,clinker_availability_profile,fuel_price_natural_gas,target_profile,opt_power
1/3/2021 23:00,124.5,121.07,0.1,15,85,1,1,20,5.728209455,0.6701
1/4/2021 0:00,124.5,118.24,0.1,15,85,1,1,20,5.728209455,0
1/4/2021 1:00,124.5,121.07,0.1,15,85,1,1,20,5.728209455,0
1/4/2021 2:00,124.5,121.07,0.1,15,85,1,1,20,5.728209455,0.6701
1/4/2021 3:00,124.5,121.6,0.1,15,85,1,1,20,5.728209455,0.6701
1/4/2021 4:00,124.5,121.6,0.1,15,85,1,1,20,5.728209455,0
1/4/2021 5:00,124.5,129.64,0.1,15,85,1,1,20,5.728209455,0.6701
1/4/2021 6:00,124.5,138.61,0.1,15,85,1,1,20,5.827224385,1.3402
1/4/2021 7:00,124.5,167.66,0.1,15,85,1,1,20,5.889454065,2.0103
1/4/2021 8:00,124.5,147.08,0.1,15,85,1,1,20,5.97242698,1.3402
1/4/2021 9:00,124.5,154.04,0.1,15,85,1,1,20,5.97242698,0.6701
1/4/2021 10:00,124.5,154.04,0.1,15,85,1,1,20,5.97242698,0
1/4/2021 11:00,124.5,154.04,0.1,15,85,1,1,20,5.97242698,0.6701
1/4/2021 12:00,124.5,154.04,0.1,15,85,1,1,20,5.97242698,1.3402
1/4/2021 13:00,124.5,154.04,0.1,15,85,1,1,20,5.97242698,2.0103
1/4/2021 14:00,124.5,154.04,0.1,15,85,1,1,20,5.889454065,2.6804
1/4/2021 15:00,124.5,154.04,0.1,15,85,1,1,20,5.827224385,3.3505
1/4/2021 16:00,124.5,154.04,0.1,15,85,0,0,20,5.7649947,4.0206
1/4/2021 17:00,124.5,154.04,0.1,15,85,0,0,20,5.7649947,4.6907
1/4/2021 18:00,124.5,154.04,0.1,15,85,0,0,20,5.7649947,5.3608
1/4/2021 19:00,124.5,154.04,0.1,15,85,0,0,20,5.7649947,6.0309
1/4/2021 20:00,124.5,154.04,0.1,15,85,0,0,20,5.7649947,6.701
1/4/2021 21:00,124.5,147.08,0.1,15,85,1,1,20,5.7649947,6.958730769
1/4/2021 22:00,124.5,137.92,0.1,15,85,1,1,20,5.728209455,6.958730769
1/4/2021 23:00,124.5,129.64,0.1,15,85,1,1,20,5.728209455,6.958730769
1/5/2021 0:00,124.5,135.23,0.1,15,85,1,1,20,5.535905385,6.958730769
1/5/2021 1:00,124.5,135.56,0.1,15,85,1,1,20,5.535905385,6.958730769
1/5/2021 2:00,124.5,135.56,0.1,15,85,1,1,20,5.535905385,6.958730769
1/5/2021 3:00,124.5,132.6,0.1,15,85,1,1,20,5.535905385,6.958730769
1/5/2021 4:00,124.5,130.76,0.1,15,85,1,1,20,5.535905385,6.958730769
1/5/2021 5:00,124.5,132.6,0.1,15,85,1,1,20,5.535905385,6.958730769
1/5/2021 6:00,124.5,141.08,0.1,15,85,1,1,20,5.63159624,6.958730769
1/5/2021 7:00,124.5,304.24,0.1,15,85,1,1,20,5.691736785,6.958730769
1/5/2021 8:00,124.5,491.32,0.1,15,85,1,1,20,5.771924185,6.701
1/5/2021 9:00,124.5,313.32,0.1,15,85,1,1,20,5.771924185,6.0309
1/5/2021 10:00,124.5,313.35,0.1,15,85,1,1,20,5.771924185,5.3608
1/5/2021 11:00,124.5,313.37,0.1,15,85,1,1,20,5.771924185,4.6907
1/5/2021 12:00,124.5,313.4,0.1,15,85,1,1,20,5.771924185,4.0206
1/5/2021 13:00,124.5,313.43,0.1,15,85,1,1,20,5.771924185,3.3505
1/5/2021 14:00,124.5,313.45,0.1,15,85,1,1,20,5.691736785,2.6804
1/5/2021 15:00,124.5,313.48,0.1,15,85,1,1,20,5.63159624,2.0103
1/5/2021 16:00,124.5,313.51,0.1,15,85,1,1,20,5.5714557,1.3402
1/5/2021 17:00,124.5,313.54,0.1,15,85,1,1,20,5.5714557,0.6701
1/5/2021 18:00,124.5,303.56,0.1,15,85,1,1,20,5.5714557,0
1/5/2021 19:00,124.5,303.59,0.1,15,85,1,1,20,5.5714557,0.6701
1/5/2021 20:00,124.5,144.49,0.1,15,85,1,1,20,5.5714557,0
1/5/2021 21:00,124.5,143.64,0.1,15,85,1,1,20,5.5714557,0.6701
1/5/2021 22:00,124.5,141.08,0.1,15,85,1,1,20,5.535905385,0
1/5/2021 23:00,124.5,136.1,0.1,15,85,1,1,20,5.535905385,0
1/6/2021 0:00,124.5,137.92,0.1,15,85,1,1,20,5.521340455,0.6701
1/6/2021 1:00,124.5,137.92,0.1,15,85,1,1,20,5.521340455,1.3402
1/6/2021 2:00,124.5,137.92,0.1,15,85,1,1,20,5.521340455,0.6701
1/6/2021 3:00,124.5,133.28,0.1,15,85,1,1,20,5.521340455,0
1/6/2021 4:00,124.5,128.23,0.1,15,85,1,1,20,5.521340455,0.6701
1/6/2021 5:00,124.5,133.28,0.1,15,85,1,1,20,5.521340455,0
1/6/2021 6:00,124.5,137.92,0.1,15,85,1,1,20,5.61677955,0.6701
1/6/2021 7:00,124.5,163.9,0.1,15,85,1,1,20,5.67676187,1.3402
1/6/2021 8:00,124.5,154.04,0.1,15,85,1,1,20,5.75673829,0.6701
1/6/2021 9:00,124.5,154.04,0.1,15,85,1,1,20,5.75673829,0
1/6/2021 10:00,124.5,154.04,0.1,15,85,1,1,20,5.75673829,0
1/6/2021 11:00,124.5,154.04,0.1,15,85,1,1,20,5.75673829,0.6701
1/6/2021 12:00,124.5,154.04,0.1,15,85,1,1,20,5.75673829,1.3402
1/6/2021 13:00,124.5,154.04,0.1,15,85,1,1,20,5.75673829,2.0103
1/6/2021 14:00,124.5,154.04,0.1,15,85,1,1,20,5.67676187,2.6804
1/6/2021 15:00,124.5,154.04,0.1,15,85,1,1,20,5.61677955,2.6804
1/6/2021 16:00,124.5,154.04,0.1,15,85,1,1,20,5.55679724,3.3505
1/6/2021 17:00,124.5,247.42,0.1,15,85,1,1,20,5.55679724,4.0206
1/6/2021 18:00,124.5,304.13,0.1,15,85,1,1,20,5.55679724,4.6907
1/6/2021 19:00,124.5,231.48,0.1,15,85,1,1,20,5.55679724,4.0206
1/6/2021 20:00,124.5,154.04,0.1,15,85,1,1,20,5.55679724,3.3505
1/6/2021 21:00,124.5,147.08,0.1,15,85,1,1,20,5.55679724,2.6804
1/6/2021 22:00,124.5,140.72,0.1,15,85,1,1,20,5.521340455,2.0103
1/6/2021 23:00,124.5,137.92,0.1,15,85,1,1,20,5.521340455,1.3402
1/7/2021 0:00,124.5,154.04,0.1,15,85,1,1,20,5.728209455,0.6701
1/7/2021 1:00,124.5,154.04,0.1,15,85,0,0,20,5.728209455,0
1/7/2021 2:00,124.5,154.04,0.1,15,85,0,0,20,5.728209455,0
1/7/2021 3:00,124.5,154.04,0.1,15,85,0,0,20,5.728209455,0.6701
1/7/2021 4:00,124.5,154.04,0.1,15,85,0,0,20,5.728209455,0
1/7/2021 5:00,124.5,154.04,0.1,15,85,0,0,20,5.728209455,0
1/7/2021 6:00,124.5,154.04,0.1,15,85,1,1,20,5.827224385,0.6701
1/7/2021 7:00,124.5,475.82,0.1,15,85,1,1,20,5.889454065,1.3402
1/7/2021 8:00,124.5,315.25,0.1,15,85,1,1,20,5.97242698,2.0103
