name,technology,max_power,bidding_EOM,bidding_nodal,bidding_DAM,bidding_redispatch,fuel_type,emission_factor,max_power,min_power,efficiency,additional_cost,node,unit_operator,operating_type
Unit_0,Steam turbine,31.1,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,hard coal,0.3,31.1,6.22,0.406816435,1.3,193,operator_0,Market
Unit_1,Small gas,233.764,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,233.764,46.7528,0.414665196,5.5,193,operator_1,Market
Unit_2,Small oil,61.7,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,oil,0.25,61.7,12.34,0.3487,5.5,193,operator_2,Market
Unit_3,Steam turbine,37.6,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0,37.6,7.52,0.33,0,193,operator_3,Market
Unit_4,Steam turbine,51.805,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,hard coal,0.3,51.805,10.361,0.394519632,1.3,87,operator_4,Market
Unit_5,Small gas,338.119692,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,338.119692,67.6239384,0.450377637,5.5,87,operator_5,Market
Unit_6,Small oil,29.2,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,oil,0.25,29.2,5.84,0.419450427,5.5,87,operator_6,Market
Unit_7,Steam turbine,162.574,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0,162.574,32.5148,0.33,0,87,operator_7,Market
Unit_8,Small gas,65.3698,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,65.3698,13.07396,0.425937521,5.5,58,operator_8,Market
Unit_9,Small oil,34,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,oil,0.25,34,6.8,0.3046,5.5,58,operator_9,Market
Unit_10,Steam turbine,36,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0,36,7.2,0.33,0,58,operator_10,Market
Unit_11,Steam turbine,17,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,lignite,0.4,17,3.4,0.39799937,1.65,58,operator_11,Market
Unit_12,Small gas,88.457,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,88.457,17.6914,0.403050514,5.5,58,operator_12,Market
Unit_13,Steam turbine,167.074,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0,167.074,33.4148,0.33,0,58,operator_13,Market
Unit_14,Small gas,14.82,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,14.82,2.964,0.490636968,5.5,167,operator_14,Market
Unit_15,Steam turbine,46,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0,46,9.2,0.33,0,167,operator_15,Market
Unit_16,Small gas,33.932,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,33.932,6.7864,0.424061042,5.5,190,operator_16,Market
Unit_17,Steam turbine,23.875,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0,23.875,4.775,0.33,0,190,operator_17,Market
Unit_18,Steam turbine,33.5,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,lignite,0.4,33.5,6.7,0.379586492,1.65,40,operator_18,Market
Unit_19,Small gas,126.023,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,natural gas,0.2,126.023,25.2046,0.404960301,5.5,40,operator_19,Market
Unit_20,Small oil,24.81,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,oil,0.25,24.81,4.962,0.456311487,5.5,40,operator_20,Market
Unit_21,Steam turbine,62.099,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,waste,0,62.099,12.4198,0.33,0,40,operator_21,Market
