datetime,DE_CH_merged_relation/14650683-220-a+2_export,DE_CH_merged_relation/14650683-220-a+2_import,DE_CH_merged_way/50306784-2-220+1_export,DE_CH_merged_way/50306784-2-220+1_import,DE_CH_merged_relation/3916226-380-c+3_export,DE_CH_merged_relation/3916226-380-c+3_import,DE_CH_merged_way/195538144-1-380+6_export,DE_CH_merged_way/195538144-1-380+6_import,DE_CH_merged_way/195538144-2-220+4_export,DE_CH_merged_way/195538144-2-220+4_import,DE_CH_merged_way/27854188-2-220+1_export,DE_CH_merged_way/27854188-2-220+1_import,DE_CH_merged_way/50306784-1-380+1_export,DE_CH_merged_way/50306784-1-380+1_import,DE_CH_merged_way/62332171-380+3_export,DE_CH_merged_way/62332171-380+3_import,DE_CH_relation/3915993-380-c_export,DE_CH_relation/3915993-380-c_import,DE_CH_way/1327046560-380_export,DE_CH_way/1327046560-380_import,DE_CH_relation/3916522-380-a_export,DE_CH_relation/3916522-380-a_import,DE_CH_relation/5603845-380_export,DE_CH_relation/5603845-380_import,DE_CH_relation/5603846-380_export,DE_CH_relation/5603846-380_import,DE_DK_relation/12842815-400_export,DE_DK_relation/12842815-400_import,DE_DK_way/907517163-380_export,DE_DK_way/907517163-380_import,DE_DK_relation/3732382-400-a_export,DE_DK_relation/3732382-400-a_import,DE_AT_way/48616848-380_export,DE_AT_way/48616848-380_import,DE_AT_merged_way/26971631-220+1_export,DE_AT_merged_way/26971631-220+1_import,DE_AT_merged_way/30970013-2-220+3_export,DE_AT_merged_way/30970013-2-220+3_import,DE_AT_merged_way/30970013-1-380+3_export,DE_AT_merged_way/30970013-1-380+3_import,DE_AT_way/133787551-220_export,DE_AT_way/133787551-220_import,DE_AT_way/125690613-220_export,DE_AT_way/125690613-220_import,DE_AT_way/125690616-220_export,DE_AT_way/125690616-220_import,DE_AT_relation/1750800-220-b_export,DE_AT_relation/1750800-220-b_import,DE_CZ_way/157331464-380_export,DE_CZ_way/157331464-380_import,DE_CZ_relation/395087-380_export,DE_CZ_relation/395087-380_import,DE_CZ_relation/965662-380_export,DE_CZ_relation/965662-380_import,DE_PL_relation/1188569-400_export,DE_PL_relation/1188569-400_import,DE_PL_relation/2239286-400_export,DE_PL_relation/2239286-400_import,DE_PL_relation/3730417-380_export,DE_PL_relation/3730417-380_import,DE_PL_relation/3730418-380_export,DE_PL_relation/3730418-380_import,DE_LU_relation/3756857-220-c_export,DE_LU_relation/3756857-220-c_import,DE_LU_relation/3756858-220-b_export,DE_LU_relation/3756858-220-b_import,DE_LU_merged_way/33813956-220+2_export,DE_LU_merged_way/33813956-220+2_import,DE_LU_way/89176927-220_export,DE_LU_way/89176927-220_import,DE_FR_relation/3717718-400_export,DE_FR_relation/3717718-400_import,DE_FR_relation/3717719-220_export,DE_FR_relation/3717719-220_import,DE_FR_relation/3756990-380_export,DE_FR_relation/3756990-380_import,DE_FR_relation/6170191-400_export,DE_FR_relation/6170191-400_import,DE_FR_relation/3756991-220_export,DE_FR_relation/3756991-220_import,DE_NL_merged_way/24846754-380+7_export,DE_NL_merged_way/24846754-380+7_import,DE_NL_merged_way/29291584-380+4_export,DE_NL_merged_way/29291584-380+4_import,DE_NL_relation/1637163-380_export,DE_NL_relation/1637163-380_import,DE_NL_relation/9981859-380_export,DE_NL_relation/9981859-380_import,DE_NL_merged_way/521228484-380+9_export,DE_NL_merged_way/521228484-380+9_import,DE_SE_export,DE_SE_import,DE_BE_export,DE_BE_import,DE_NO_export,DE_NO_import
01-01-23 0:00,0,-0.051075,0,-0.102375,0,-0.176625,0,-0.176625,0,-0.051075,0,-0.102375,0,-0.35325,0,-0.35325,0,-0.176625,0,-0.176625,0,-0.176625,0,-0.176625,0,-0.176625,0,-0.1282,0,-0.2436,0,-0.1282,0,-27.059175,0,-27.059175,0,-3.915725,0,-13.5256,0,-7.83145,0,-7.83145,0,-7.83145,0,-3.915725,0,-422.5,0,-211.25,0,-211.25,0,0,0,0,0,0,0,0,94.125,0,94.125,0,94.125,0,94.125,0,192.5679,0,52.9626,0,365.939,0,192.5679,0,52.9626,0,0,-232.9375,0,-232.9375,0,-116.46875,0,-116.46875,0,-232.9375,469,0,176.5,0,0,0
01-01-23 1:00,0,-1.9976,0,-4.004,0,-6.908,0,-6.908,0,-1.9976,0,-4.004,0,-13.816,0,-13.816,0,-6.908,0,-6.908,0,-6.908,0,-6.908,0,-6.908,0,0,0,0,0,0,0,-15.2685,0,-15.2685,0,-2.2095,0,-7.632,0,-4.419,0,-4.419,0,-4.419,0,-2.2095,0,-401,0,-200.5,0,-200.5,0,0,0,0,0,0,0,0,94.75,0,94.75,0,94.75,0,94.75,0,0,0,0,0,0,0,0,0,0,0,0,-3.9375,0,-3.9375,0,-1.96875,0,-1.96875,0,-3.9375,506,0,0,-587,0,0
01-01-23 2:00,0,-0.9307,0,-1.8655,0,-3.2185,0,-3.2185,0,-0.9307,0,-1.8655,0,-6.437,0,-6.437,0,-3.2185,0,-3.2185,0,-3.2185,0,-3.2185,0,-3.2185,0,0,0,0,0,0,0,-20.951775,0,-20.951775,0,-3.031925,0,-10.4728,0,-6.06385,0,-6.06385,0,-6.06385,0,-3.031925,0,-449,0,-224.5,0,-224.5,0,0,0,0,0,0,0,0,45.625,0,45.625,0,45.625,0,45.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,0,705.25,0,0,0
01-01-23 3:00,0,-0.0681,0,-0.1365,0,-0.2355,0,-0.2355,0,-0.0681,0,-0.1365,0,-0.471,0,-0.471,0,-0.2355,0,-0.2355,0,-0.2355,0,-0.2355,0,-0.2355,0,0,0,0,0,0,0,-23.326875,0,-23.326875,0,-3.375625,0,-11.66,0,-6.75125,0,-6.75125,0,-6.75125,0,-3.375625,0,-435.5,0,-217.75,0,-217.75,174.6084,0,174.6084,0,165.8916,0,165.8916,0,28.4375,0,28.4375,0,28.4375,0,28.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,0,620.75,0,0,0
01-01-23 4:00,0,-0.005675,0,-0.011375,0,-0.019625,0,-0.019625,0,-0.005675,0,-0.011375,0,-0.03925,0,-0.03925,0,-0.019625,0,-0.019625,0,-0.019625,0,-0.019625,0,-0.019625,0,0,0,0,0,0,0,-29.68875,0,-29.68875,0,-4.29625,0,-14.84,0,-8.5925,0,-8.5925,0,-8.5925,0,-4.29625,0,-481,0,-240.5,0,-240.5,143.0712,0,143.0712,0,135.9288,0,135.9288,0,25.3125,0,25.3125,0,25.3125,0,25.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,0,826,0,0,0
01-01-23 5:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25.7868,0,-25.7868,0,-3.7316,0,-12.8896,0,-7.4632,0,-7.4632,0,-7.4632,0,-3.7316,0,-460,0,-230,0,-230,152.558,0,152.558,0,144.942,0,144.942,0,31.8125,0,31.8125,0,31.8125,0,31.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,0,250.25,0,0,0
01-01-23 6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26.1261,0,-26.1261,0,-3.7807,0,-13.0592,0,-7.5614,0,-7.5614,0,-7.5614,0,-3.7807,0,-451,0,-225.5,0,-225.5,177.6852,0,177.6852,0,168.8148,0,168.8148,0,11.75,0,11.75,0,11.75,0,11.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,0,359.75,0,0,0
01-01-23 7:00,0,-0.10215,0,-0.20475,0,-0.35325,0,-0.35325,0,-0.10215,0,-0.20475,0,-0.7065,0,-0.7065,0,-0.35325,0,-0.35325,0,-0.35325,0,-0.35325,0,-0.35325,0,0,0,0,0,0,0,-26.97435,0,-26.97435,0,-3.90345,0,-13.4832,0,-7.8069,0,-7.8069,0,-7.8069,0,-3.90345,0,-453,0,-226.5,0,-226.5,219.222,0,219.222,0,208.278,0,208.278,0,20.0625,0,20.0625,0,20.0625,0,20.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,0,40.25,0,0,0
01-01-23 8:00,0,-1.027175,0,-2.058875,0,-3.552125,0,-3.552125,0,-1.027175,0,-2.058875,0,-7.10425,0,-7.10425,0,-3.552125,0,-3.552125,0,-3.552125,0,-3.552125,0,-3.552125,0,0,0,0,0,0,0,-64.212525,0,-64.212525,0,-9.292175,0,-32.0968,0,-18.58435,0,-18.58435,0,-18.58435,0,-9.292175,0,0,0,0,0,0,142.302,0,142.302,0,135.198,0,135.198,0,26.6875,0,26.6875,0,26.6875,0,26.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,0,0,-57.25,0,0
01-01-23 9:00,0,-1.816,0,-3.64,0,-6.28,0,-6.28,0,-1.816,0,-3.64,0,-12.56,0,-12.56,0,-6.28,0,-6.28,0,-6.28,0,-6.28,0,-6.28,0,0,0,0,0,0,0,-32.487975,0,-32.487975,0,-4.701325,0,-16.2392,0,-9.40265,0,-9.40265,0,-9.40265,0,-4.701325,76.5,0,38.25,0,38.25,0,156.6604,0,156.6604,0,148.8396,0,148.8396,0,24,0,24,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,0,64.5,0,0,0
